pitdup.p                                                 3.16.23 标签删除/存档                                        日期: 28/11/07
页:      1                                             东风康明斯发动机有限公司                                       时间: 13:55:12

  标签号 地点     库位     零件号             批/序              参考     过帐 作废 生成日期 打印日期 盘点日期 重盘日期
-------- -------- -------- ------------------ ------------------ -------- ---- ---- -------- -------- -------- --------
       1 DCEC-C   a05i2    1001113-K0901                                  Y    N    29/06/07 28/11/07 30/06/07 30/06/07
       2 DCEC-C   a05i2    1001114-K0901                                  Y    N    29/06/07 28/11/07 30/06/07 30/06/07
       3 DCEC-C   B13D3    107460                                         Y    N    29/06/07 28/11/07 30/06/07 30/06/07
       4 DCEC-C   A09E2    10N-01020                                      Y    N    29/06/07 28/11/07 30/06/07 30/06/07
       5 DCEC-C   A09E2    10N-01050                                      Y    N    29/06/07 28/11/07 30/06/07 30/06/07
       6 DCEC-C   d06a6    10Z66-01013                                    Y    N    29/06/07 28/11/07 30/06/07 30/06/07
       7 DCEC-C   d06a8    10Z66-01014                                    Y    N    29/06/07 28/11/07 30/06/07 30/06/07
       8 DCEC-C   a05e3    1119016-K0800                                  Y    N    29/06/07 28/11/07 30/06/07 30/06/07
       9 DCEC-C   B05C1    11N12-04125                                    Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      10 dcec-c   B02I2    11N46-08380                                    Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      11 DCEC-C   C10A4    129866                                         Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      12 DCEC-C   B01I3    13N12-11020                                    Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      13 DCEC-C   c13e3    140312                                         Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      14 DCEC-C   c11e4    152767                                         Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      15 DCEC-C   d15a14   1601R40-090                                    Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      16 DCEC-C   d15a7    1601R40-130                                    Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      17 DCEC-C   d15a5    1601Z-130                                      Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      18 DCEC-C   d15a4    1601Z36-130                                    Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      19 DCEC-C   b11k3    16N-01031                                      Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      20 DCEC-C   b09i3    16Z02-01031                                    Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      21 DCEC-C   b09c2    178957                                         Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      22 DCEC-C   A04B2    181461                                         Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      23 DCEC-C   a03h3    183482123833                                   Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      24 DCEC-C   b06a3    185848                                         Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      25 DCEC-C   b02c2    204048                                         Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      26 DCEC-C   C10B2    204994                                         Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      27 DCEC-C   B13E3    214345                                         Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      28 DCEC-C   b14j1    3010596                                        Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      29 DCEC-c   B10A2    3069053                                        Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      30 dcec-c   c05a3    3073972                                        Y    N    29/06/07 28/11/07 30/06/07 30/06/07
      31 DCEC-C   C04E3    3089016                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      32 DCEC-C   C13D4    3093956                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      33 DCEC-C   c13c2    3095295                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      34 dcec-c   A03C3    3102763                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      35 DCEC-C   c12a3    3163073                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      36 DCEC-C   c04d3    3163682                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      37 DCEC-C   c05c3    3164046                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      38 DCEC-C   c12a2    3164325                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      39 DCEC-C   c05c3    3164446                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      40 DCEC-C   c05c3    3164488                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      41 DCEC-C   c11b2    3164491                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      42 DCEC-C   C11A2    3164596                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      43 DCEC-C   C11A2    3164597                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      44 DCEC-C   c11c2    3164617                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      45 DCEC-C   c11c2    3164618                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      46 DCEC-C   c11c1    3164621                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      47 DCEC-C   c05b3    3165117                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      48 DCEC-C   b13G3    3171181                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      49 DCEC-C   b14k2    3278448                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      50 DCEC-C   c05b3    3281592                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      51 DCEC-C   B14K2    3281692                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      52 DCEC-C   B13H3    3282081                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
      53 DCEC-C   C09B2    3282159                                        Y    N    29/06/07 29/06/07 30/06/07 30/06/07
