item no,desc,work center,line locator,min,order qty,max
800-05762,NETAXS-123 CONTROLLER BO,cprod05f,05F-A6-2-1,1,1000,2
800-05761,NETAXS-123 CONTROLLER BO,cprod05f,05F-A6-2-1,1,1000,2
800-05803,NETAXS-123 RELAY LABEL,cprod05f,05F-A6-3-1,1,1000,2
800-05802,NETAXS-123 POE (POWER OV,cprod05f,05F-A6-3-1,1,1000,2
300-03212,"CONN,LF,PLUG,3X32 PINS,D",cprod05f,05F-A7-1-1,1,150,2
AD-P8160-4,"CONN,JUMPER,.1~,CLOSED,",cprod05f,05F-A7-4-1,1,2000,2
MER-0021,"CONN,LF,TERM BLK,1X5 POS",cprod05f,05F-A8-1-4,15,750,30
MER-0038,"CONN,LF,TERM BLK,1X4 POS",cprod05f,05F-A8-3-4,30,1500,60
MER-0045,"CONN,LF,TERM BLK,1X6 POS",cprod05f,05F-A8-4-4,34,1700,68
300-01769,"CONN,LF,JUMPER,2.5A,2POS",cprod05f,05F-A8-5-3,1,5000,2
MER-0051,"CONN,LF,TERM BLK,1X10 PO",cprod05f,05F-A8-7-4,18,900,36
TLD10002,"SEMI,TH.LED.YE.4-10MCD@1",cprod09,09-F8-5-5B,1000,2000,
CZ-FA2-0500,500MA 20MM ANTI SURGE FU,cprod0b,0B-C10-1-3A,2,3000,4
CZ-PH1-0211,"CONN,2 WAY SHORTING LINK",cprod0b,0B-C10-1-3B,1,2000,2
CZ-PJ1-0211,"CONN,2 WAY SHORTING LINK",cprod0b,0B-C10-1-4A,2,4000,4
300-02491,"CONN,LF,PIN STRIP(PLUG),",cprod0b,0B-C10-2-3A,7,750,14
A573261,"ASSY,CABLE.ROUNDCABLE.RE",cprod0b,0B-C10-2-4A,1,1000,2
CZ-BC3-5478,"MISC,BATTERY CONTACT 581",cprod0b,0B-C10-2-4B,1,1000,2
CZ-BC3-5492,"MISC,BATTERY CONTACT 581",cprod0b,0B-C10-2-5A,1,1000,2
CZ-SW1-0006,"ACTUATOR,SWITCH MOMENTAR",cprod0b,0B-C10-3-5B,1,500,2
TFS02007,"FUSE,LF,FAST BLOW,0A25,2",cprod0b,0B-C10-4-1A,2,500,4
CZ-YX0-8208,"MISC,ANTENNA 5816EU",,0B-D10-5-2A,1,1000,2
75Z000100A,ANTENNE FIL IRVPI,,0E-B7-4-3A,3,600,6
75Z000100A,ANTENNE FIL IRVPI,,0E-B7-4-3A,3,600,6
62Z005200A,CONN. FEM. 2X 5 PTS HE 10,,0E-B7-5-3,2,2160,4
5-512-389-00,"GROUND STRAP,PYRO*S-T-S*",,D07-G2-1-1A,1,3000,2
5-880-807-00,"ANCHOR,SCREW",,D07-G2-2-2,1,5000,2
5-040-632-00,"LABEL,HOOK-UP,IS215TCE",,D07-G2-2-4B,1,3000,2
5-040-265-00,"LABEL,SENSITIVITY SETTIN",,D07-G2-2-5A,1,3000,2
AD-K6192,"LBL,WEEE LOGO",,D07-G2-3-2A,1,1000,2
5-046-552-00,"LABEL,INCERT,IS215TCE",,D07-G2-5-1A,1,3000,2
5-046-553-00,"LABEL,INCERT,IS215T",,D07-G2-5-1B,1,2448,2
AD-K9854,"LBL,MASKING,60FT,IS-25XX",,D07-G6-8-4,1,5000,2
AD-K3376-3,"DETECTOR,PYROELECTRIC,SE",,D07-G7-2,3,3000,6
5-206-472-04,"RESISTOR,MF,1.00K OHMS,1",,DS2-C1-1-3B,2,4000,4
5-532-567-00,"CENTER CONDUCTOR,INSULAT",,DS2-C1-2-1A,1,1000,2
5-811-021-00,"NUT,HEX,BRASS,10-32,1,4~",,DS2-C1-4-1A,1,1000,2
5-829-000-00,"WASHER,LOCK,SPLIT SPRING",,DS2-C1-4-4B,1,10000,2
5-829-004-04,"WASHER,LOCK,SPLIT,STEEL/",,DS2-C1-4-5B,1,10000,2
5-829-001-01,"WASHER,LOCK,SPLIT,STEEL/",,DS2-C1-4-4B,1,10000,2
5-901-022-00,"HOLDER,GUNN DIODE",,DS2-C1-5-2B,1,1000,2
5-901-023-00,"POST,GUNN DIODE",,DS2-C1-5-3A,1,1000,2
5-901-031-00,"SOLDER LUG,3MM",,DS2-C1-6-1B,1,1000,2
5-901-032-00,"SOLDER LUG,3MM",,DS2-C1-6-2A,2,2000,4
5-828-019-00,"WASHER,LOCK,EXTERNAL TOO",,F1A-G3-1-5A,1,5000,2
300-00109,"FUSE,2.5A,GLASS TUBE FUS",,F1A-G4-1-1,5,500,10
300-01475,"FUSE,LF,FAST BLOW,750MA,",,F1A-G4-1-2,15,1500,30
300-01507,"CONN,JUMPER,3A,HI-PROF,2",,F1A-G4-1-3,1,1000,2
5-116-224-00,"RESISTOR,CF,2.2K,5%,1/4W",,F1A-G4-2-1,1,5000,2
