prod,work center,date,item no,qty
vsm2,cprodfe3,9/10/2013,camir-n-ru,400
vsm2,cprodfe3,9/10/2013,aaaa,800
vsm2,cprodfe2,9/10/2013,15630,100
vsm2,cprodfe2,9/10/2013,do800m,1000
vsm2,cprodfe2,9/10/2013,lkp-s8m-thm,112
vsm2,cprodfe2,9/10/2013,lpr-s8ez-adt,500
vsm2,cprodfe2,9/10/2013,tcbpa8m-1,300
vsm2,cprodfe1,9/10/2013,hme8fr-p24g7,230
vsm2,cprodfe1,9/10/2013,hmi8no-sec7g,170
vsm2,cprodfb3,9/10/2013,a076-00-01,34
vsm2,cprodfb3,9/10/2013,a077-00-01,30
vsm2,cprodfb1,9/10/2013,c020-01-c,192
vsm2,cprodfb1,9/10/2013,c048-d-c1,128
vsm2,cprodfb1,9/10/2013,c096-d-c1,30
vsm2,cprodfb1,9/10/2013,c520-d-c1,30
