#def REPORTPATH=$/QAD Addons/BI Report/xxssdi21
#def :end
"¿Í»§´úÂë";"¿Í»§Ãû³Æ";"ÉêÇë";"·¢Æ±±¸×¢";"ÉúÐ§ÈÕÆÚ";"·¢Æ±ÈÕÆÚ";"ÔÝ¹À·¢Æ±";"ÔÝ¹À¶©µ¥";"Ïî";"Áã¼þºÅ";"Áã¼þËµÃ÷";"µ¥Î»";"ÊýÁ¿";"µ¥¼Û";"½ð¶î"
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";180;339.7;61146
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10007";"C2001-09";2;"2.12.01.03.00";"2WA-327É«FB-R²¿Î»";"EA";180;340.81;61345.8
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10007";"C2001-09";3;"2.12.01.05.00";"2WA-327É«FC-L²¿Î»";"EA";180;233.27;41988.6
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10007";"C2001-09";4;"2.12.01.06.00";"2WA-327É«FC-R²¿Î»";"EA";180;229.7;41346
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10008";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";180;339.7;61146
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10008";"C2001-09";2;"2.12.01.03.00";"2WA-327É«FB-R²¿Î»";"EA";180;340.81;61345.8
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10008";"C2001-09";3;"2.12.01.05.00";"2WA-327É«FC-L²¿Î»";"EA";180;233.27;41988.6
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10008";"C2001-09";4;"2.12.01.06.00";"2WA-327É«FC-R²¿Î»";"EA";180;229.7;41346
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10010";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";180;339.7;61146
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10010";"C2001-09";2;"2.12.01.03.00";"2WA-327É«FB-R²¿Î»";"EA";180;340.81;61345.8
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10010";"C2001-09";3;"2.12.01.05.00";"2WA-327É«FC-L²¿Î»";"EA";180;233.27;41988.6
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000002";"18";09/01/21;09/01/21;"10010";"C2001-09";4;"2.12.01.06.00";"2WA-327É«FC-R²¿Î»";"EA";16;229.7;3675.2
