#def REPORTPATH=$/QAD Addons/BI Report/xxssdi41
#def :end
"¿Í»§´úÂë";"¿Í»§Ãû³Æ";"ÉêÇë.·¢Æ±±¸×¢";"×¨ÓÃ·¢Æ±";"ºì×Ö¶©µ¥";"ºì×Ö·¢Æ±";"ÕýÊ½¶©µ¥";"ÕýÊ½·¢Æ±";"ÉúÐ§ÈÕÆÚ";"·¢Æ±ÈÕÆÚ";"ÔÝ¹À·¢Æ±";"ÔÝ¹À¶©µ¥";"Ïî";"Áã¼þºÅ";"Áã¼þËµÃ÷";"µ¥Î»";"ÊýÁ¿";"µ¥¼Û";"½ð¶î"
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000003.21";"IR000003.21.II000004";"SR000004";"IR000004";"SI000005";"II000004";09/04/24;09/04/24;"IV10094";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";2060;340.27;700956.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000004.27";"1";"SR000005";"IR000005";"SI000006";"II000005";09/04/24;09/04/24;"IV10094";"C2001-09";2;"2.12.01.03.00";"2WA-327É«FB-R²¿Î»";"EA";876;341.36;299031.36
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR000004.28";"2";"SR000006";"IR000006";"SI000007";"II000006";09/04/24;09/04/24;"IV10094";"C2001-09";2;"2.12.01.03.00";"2WA-327É«FB-R²¿Î»";"EA";1184;341.36;404170.24
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR090401.10";"2";"";"";"";"";09/04/24;09/04/24;"IV10094";"C2001-09";5;"2.12.01.08.00";"2WA-327É«RB-L²¿Î»";"EA";1107;253.97;281144.79
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR090401.10";"";"";"";"";"";09/04/24;09/04/24;"IV10094";"C2001-09";6;"2.12.01.09.00";"2WA-327É«RB-R²¿Î»";"EA";2768;259.64;718683.52
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR090401.11";"";"";"";"";"";09/04/24;09/04/24;"IV10094";"C2001-09";6;"2.12.01.09.00";"2WA-327É«RB-R²¿Î»";"EA";842;259.64;218616.88
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR090401.11";"";"";"";"";"";09/04/24;09/04/24;"IV10094";"C2001-09";7;"2.12.01.11.00";"2WA-327É«RC-L²¿Î»";"EA";3610;211.63;763984.3
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR090401.11";"";"";"";"";"";09/04/24;09/04/24;"IV10094";"C2001-09";8;"2.12.01.12.00";"2WA-327É«RC-R²¿Î»";"EA";55;313.1;17220.5
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";"IR090401.12";"";"";"";"";"";09/04/24;09/04/24;"IV10094";"C2001-09";8;"2.12.01.12.00";"2WA-327É«RC-R²¿Î»";"EA";3193;313.1;999728.3

