帐户;分帐户;成本中心;金额
100101;;41;-5000
100101;;45;-325
100101;;46;-4009.5
100101;;48;-346311.36
100101;;53;674405.1
100101;;54;-280292.36
100101;;56;-569
100101;;58;-37401
100102;;52;-2737.41
100102;;53;22080.02
100103;;41;-23237.52
100103;;45;-28081.6
100103;;52;-36341.52
100103;;53;152177.35
100103;;58;-59408.04
10011;;11;0
10011;;12;0
10011;;14;0
10011;;16;0
10011;;17;0
10011;;21;0
10011;;22;0
10011;;23;0
10011;;31;0
10011;;32;0
10011;;33;0
10011;;34;0
10011;;35;0
10011;;36;0
10011;;41;0
10011;;42;0
10011;;43;0
10011;;44;0
10011;;45;0
10011;;46;0
10011;;47;0
10011;;51;0
10011;;52;0
10011;;53;0
10011;;54;0
10011;;55;0
10011;;56;0
10011;;57;0
10011;;58;0
10011;;59;0
10011;;60;0
10012;;;0
10012;;17;0
10012;;31;0
10012;;41;0
10012;;43;0
10012;;45;0
10012;;51;0
10012;;52;0
10012;;53;0
10012;;56;0
10012;;58;0
10012;;60;0
10013;;;0
10013;;43;0
10013;;53;0
10020101;20000001;44;-1568482.69
10020101;20000001;46;-261000
10020101;20000001;48;-9355
10020101;20000001;52;-4819959.63
10020101;20000001;53;27332245.04
10020101;20000001;54;-2020977.47
10020101;20000001;58;-3975
10020101;20000001;60;-373231.58
10020102;20000002;11;-6555.56
10020102;20000002;13;-3232
10020102;20000002;14;-3756
10020102;20000002;15;-60
10020102;20000002;16;-1272
10020102;20000002;17;-4153
10020102;20000002;21;-6349.69
10020102;20000002;22;-6099.55
10020102;20000002;23;-2758
10020102;20000002;31;-1396
10020102;20000002;32;-17739
10020102;20000002;33;-1900
10020102;20000002;34;-1950
10020102;20000002;35;-2294
10020102;20000002;36;-2187
10020102;20000002;37;-5976
10020102;20000002;38;-3506
10020102;20000002;41;-53829.25
10020102;20000002;42;-18512
10020102;20000002;43;-22563.36
10020102;20000002;44;-11994
10020102;20000002;45;-63135.18
10020102;20000002;46;-93364.91
10020102;20000002;48;-95114.71
10020102;20000002;51;-75751.8
10020102;20000002;52;-96178.54
10020102;20000002;53;7334572.38
10020102;20000002;54;-5935425.28
10020102;20000002;56;-5003
10020102;20000002;57;-55607.4
10020102;20000002;58;-58689.8
10020102;20000002;60;-348380.11
