#def REPORTPATH=$/QAD Addons/BI Report/xxssdi02
#def :end
"¿Í»§´úÂë";"¿Í»§Ãû³Æ";"ÉúÐ§ÈÕÆÚ";"·¢Æ±ÈÕÆÚ";"ÔÝ¹À·¢Æ±";"ÔÝ¹À¶©µ¥";"Ïî";"Áã¼þºÅ";"Áã¼þËµÃ÷";"µ¥Î»";"ÊÂÎñ";"·¢»õÈÕÆÚ";"ÊýÁ¿";"µ¥¼Û";"½ð¶î"
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24520;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24521;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24522;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24523;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24524;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24525;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24526;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24527;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24528;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24529;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24530;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24531;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24532;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24533;09/01/21;6;339.7;2038.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";1;"2.12.01.02.00";"2WA-327É«FB-L²¿Î»";"EA";24534;09/01/21;96;339.7;32611.2
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";2;"2.12.01.03.00";"2WA-327É«FB-R²¿Î»";"EA";24541;09/01/21;6;340.81;2044.86
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";2;"2.12.01.03.00";"2WA-327É«FB-R²¿Î»";"EA";24542;09/01/21;6;340.81;2044.86
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";2;"2.12.01.03.00";"2WA-327É«FB-R²¿Î»";"EA";24543;09/01/21;6;340.81;2044.86
"C2001";"ÎäººÌá°®Ë¼È«ÐËÆû³µÁã²¿¼þ¹«Ë¾";09/01/21;09/01/21;"10007";"C2001-09";2;"2.12.01.03.00";"2WA-327É«FB-R²¿Î»";"EA";24544;09/01/21;6;340.81;2044.86
