#def REPORTPATH=$/QAD Addons/BI Report/xxpcinbs
#def :end
"年份";"期间";"地点代码";"地点说明";"零件代码";"零件说明";"在库品数量";"重建差异数量"
2009;8;"1000";"宁波提爱思(加工区）";"10";" ";420;420
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";529;0
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";521;0
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";528;0
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";528;0
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";529;0
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";528;0
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";523;0
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";528;0
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";529;0
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";529;0
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";638;0
2009;8;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色RAR-部位 ";529;0
2009;8;"1000";"宁波提爱思(加工区）";"2.05.01.08.00";"WQ-UK-327-RB/L部位 ";345;0
2009;8;"1000";"宁波提爱思(加工区）";"2.05.01.09.00";"WQ-UK-327-RB/R部位 ";395;0
2009;8;"1000";"宁波提爱思(加工区）";"2.05.01.11.00";"WQ-UK-327-RC/L部位 ";545;0
2009;8;"1000";"宁波提爱思(加工区）";"2.05.01.12.00";"WQ-UK-327-RC/R部位 ";545;0
