#def REPORTPATH=$/QAD Addons/BI Report/xxpcinbt
#def :end
"地点";"库位";"零件";"批序号";"参考号";"标准系统数量";"期间成本数量";"数量差异"
"1000";"";"10";"";"";420;420;0
"1000";"";"2.02.05.02.00";"";"";529;529;0
"1000";"";"2.02.05.03.00";"";"";521;521;0
"1000";"";"2.02.05.05.00";"";"";528;528;0
"1000";"";"2.02.05.06.00";"";"";528;528;0
"1000";"";"2.02.05.08.00";"";"";529;529;0
"1000";"";"2.02.05.09.00";"";"";528;528;0
"1000";"";"2.02.05.11.00";"";"";523;523;0
"1000";"";"2.02.05.12.00";"";"";528;528;0
"1000";"";"2.02.05.14.00";"";"";529;529;0
"1000";"";"2.02.05.15.00";"";"";529;529;0
"1000";"";"2.02.05.16.00";"";"";638;638;0
"1000";"";"2.02.05.17.00";"";"";529;529;0
"1000";"";"2.05.01.08.00";"";"";345;345;0
"1000";"";"2.05.01.09.00";"";"";395;395;0
"1000";"";"2.05.01.11.00";"";"";545;545;0
"1000";"";"2.05.01.12.00";"";"";545;545;0
"1000";"";"2.05.01.17.00";"";"";305;305;0
"1000";"";"2.05.01.21.00";"";"";235;235;0
"1000";"";"2.05.02.08.00";"";"";203;203;0
"1000";"";"2.05.02.09.00";"";"";203;203;0
"1000";"";"2.05.02.11.00";"";"";203;203;0
"1000";"";"2.05.02.12.00";"";"";203;203;0
"1000";"";"2.05.02.17.00";"";"";203;203;0
"1000";"";"2.05.02.21.00";"";"";204;204;0
"1000";"";"2.07.01.02.00";"";"";41;41;0
"1000";"";"2.07.01.03.00";"";"";41;41;0
"1000";"";"2.07.01.05.00";"";"";41;41;0
"1000";"";"2.07.01.06.00";"";"";41;41;0
"1000";"";"2.08.01.02.00";"";"";84;84;0
"1000";"";"2.08.01.03.00";"";"";144;144;0
"1000";"";"2.08.01.06.00";"";"";4;4;0
"1000";"";"2.08.02.02.00";"";"";202;202;0
"1000";"";"2.08.02.03.00";"";"";202;202;0
"1000";"";"2.08.02.05.00";"";"";202;202;0
"1000";"";"2.08.02.06.00";"";"";202;202;0
"1000";"";"2.14.12.02.00";"";"";806;806;0
"1000";"";"2.14.12.03.00";"";"";806;806;0
"1000";"";"2.14.12.05.00";"";"";806;806;0
"1000";"";"2.14.12.06.00";"";"";806;806;0
"1000";"";"2.14.12.08.00";"";"";794;794;0
