#def REPORTPATH=$/QAD Addons/BI Report/xxpcprhr
#def :end
"年份";"期间";"地点代码";"地点说明";"零件代码";"零件说明";"供应商代码";"供应商说明";"事务类型";"数量";"金额";"均价"
2009;6;"1000";"宁波提爱思(加工区）";"8.01.01.01A";"YW1-黑色原皮 ";"S1001";"青岛永昌因特皮革有限公司";"RCT-PO";-3272;-48058.3;14.6877444988
2009;6;"1000";"宁波提爱思(加工区）";"8.01.01.02A";"YW1-驼色原皮 ";"S1001";"青岛永昌因特皮革有限公司";"RCT-PO";-42;-616.9;14.6880952381
2009;6;"1000";"宁波提爱思(加工区）";"8.02.01.01A";"2RS机种1号原皮167色 ";"S1001";"青岛永昌因特皮革有限公司";"RCT-PO";-1262.1;-20262.41;16.054520244
2009;6;"1000";"宁波提爱思(加工区）";"8.02.01.02A";"2RS机种2号原皮556色 ";"S1001";"青岛永昌因特皮革有限公司";"ISS-PRV";-1092.5;0;0
2009;6;"1000";"宁波提爱思(加工区）";"8.02.01.02A";"2RS机种2号原皮556色 ";"S1001";"青岛永昌因特皮革有限公司";"RCT-PO";17867.7;0;0
2009;6;"1000";"宁波提爱思(加工区）";"8.02.01.02J";"2RS-2号救济皮556L ";"S1001";"青岛永昌因特皮革有限公司";"RCT-PO";1092.5;12170.21;11.1397803204
2009;6;"1000";"宁波提爱思(加工区）";"8.02.03.02";"2RS-TPU 3T3层556色 ";"S1004";"上海井上高分子有限公司";"RCT-PO";1367;203998.95;149.2311265545
2009;6;"1000";"宁波提爱思(加工区）";"8.02.03.04";"2RS-TPU 10T 556 ";"S1004";"上海井上高分子有限公司";"RCT-PO";350.6;58115.18;165.7592127781
2009;6;"1000";"宁波提爱思(加工区）";"8.02.04.02";"2RS-3TCABRON 556色 ";"S1017";"日本TS";"RCT-PO";147;33147.57;225.4936734694
2009;6;"1000";"宁波提爱思(加工区）";"8.02.04.04";"2RS-5TCABRON 556 ";"S1017";"日本TS";"RCT-PO";258;61618.64;238.8319379845
2009;6;"1000";"宁波提爱思(加工区）";"8.02.06.01";"2RS-TR364 3T2层 灰色 ";"S1004";"上海井上高分子有限公司";"RCT-PO";344.4;39764.82;115.4611498258
2009;6;"1000";"宁波提爱思(加工区）";"8.02.06.02";"2RS-TR364 5T2层 灰色 ";"S1004";"上海井上高分子有限公司";"RCT-PO";195.9;23588.22;120.4094946401
2009;6;"1000";"宁波提爱思(加工区）";"8.02.07.02";"2RS-2号TR333 556色 ";"S1006";"川岛织物(上海)有限公司";"RCT-PO";183;0;0
