#def REPORTPATH=$/QAD Addons/BI Report/xxpcwoip
#def :end
"年份";"期间";"地点代码";"地点说明";"父件代码";"父件说明";"子件代码";"子件说明";"领料数量"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"3.02.05.02.00";"2RS-556-牛皮裁片FB/L组合 ";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"4.02.05.02.01.00";"FBLA12KA--STK9RK01 2RS-556色FB/L-1牛皮裁片";-23
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"4.02.05.02.02.00";"FBLA11KB--STK9RK 2RS-556色FB/L-2牛皮裁片";-27
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"4.02.05.02.03.00";"FBLA11KC--STK9RK 2RS-556色FB/L-3牛皮裁片";-39
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"4.02.05.02.04.00";"FBLA11KD--STK9RK 2RS-556色FB/L-4牛皮裁片";-28
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"4.02.05.02.05.00";"FBLA11KE--STK9RK 2RS-556色FB/L-5牛皮裁片";-42
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"4.02.05.02.06.00";"FBLA12KF--STK9RK01 2RS-556色FB/L-6牛皮裁片";-27
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"4.02.05.02.07.00";"FBLA12KG--STK9RK01 2RS-556色FB/L-7牛皮裁片";-44
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"4.02.05.02.08.00";"FBLA13KH--STK9MP 2RS-556色FB/L-8牛皮裁片";-45
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"7.A1-FBL.556";"ZQ-S91组合FBL.556 ";-626
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"8.02.14.03";"81521-STK9-A000-KW-0001 2RS-3号力布，L，JH";-649
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"8.02.14.04";"81521-STK9-A000-KX-0001 2RS-4号力布，L JG";-666
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"8.02.15.01";"T104000-0000-0035-01 2RS-树脂扣，L=35";-1957
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-2238
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"8.02.15.03";"T104000-0000-0130-01 2RS-树脂扣，L=130";-661
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"8.02.15.04";"81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90";-1326
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"8.02.15.07";"T110000-0000-0135-00 2RS-树脂扣， L=135";-1088
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"8.02.16.01";"81121-STK9-A110-22-0000 2RS-不织布 H30 X L240";-1365
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"8.02.16.02";"81121-STK9-A110-21-0000 2RS-不织布 H30 X L545";-1247
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"8.02.23.01";"4102398-S870-A802 2RS-1号商标，NH167L";-108
