#def REPORTPATH=$/QAD Addons/BI Report/xxpcwor
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"加工单";"期初数量";"期间增加数量";"期间入库数量";"期间报废数量";"期末数量";"期间不计成本报废数量";"期间计算成本报废数量";"期间入库比例";"期间计算成本报废成本"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28344";0;30;30;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28358";0;120;120;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28368";0;30;30;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28379";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28392";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28401";0;96;96;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28523";0;24;24;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28343";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28357";0;72;72;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28367";0;42;42;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28378";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28391";0;36;36;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28400";0;102;102;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28427";0;24;24;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28346";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28360";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28372";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28381";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28394";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28404";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28420";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28460";0;12;12;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28345";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28359";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28371";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28380";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28393";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28403";0;70;70;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28419";0;50;50;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28458";0;10;10;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"29196";0;8;8;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28348";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28370";0;108;108;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28385";0;12;12;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28390";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28416";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28418";0;84;84;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"28454";0;18;18;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28347";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28369";0;90;90;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28384";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28389";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28415";0;6;6;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28417";0;114;114;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"28456";0;6;6;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28350";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28362";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28374";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28383";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28396";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28407";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28422";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"28522";0;18;18;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"28349";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"28361";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"28373";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"28382";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"28395";0;48;48;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"28405";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"28421";0;54;54;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.12.00";"2RS-556色RC/R-部位 ";"28521";0;18;18;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"28353";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"28365";0;45;45;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"28376";0;75;75;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"28387";0;45;45;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"28398";0;45;45;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"28413";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"28424";0;45;45;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"28519";0;30;30;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.14.00";"2RS-556色RBS/L-部位 ";"29192";0;10;10;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"28352";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"28364";0;45;45;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"28375";0;75;75;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"28386";0;45;45;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"28397";0;45;45;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"28411";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"28423";0;45;45;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"28518";0;30;30;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.15.00";"2RS-556色RBS/R-部位 ";"29191";0;10;10;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"28351";0;120;120;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"28363";0;30;30;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"28426";0;30;30;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"28612";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"28677";0;150;150;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"28678";0;120;120;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"28739";0;180;180;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"28752";0;66;66;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.16.00";"2RS-556色FBC-R部位 ";"29195";0;6;6;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"28354";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"28366";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"28377";0;60;60;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"28388";0;30;30;0;0;0;0;1;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.17.00";"2RS-556色AAR-部位 ";"28399";0;60;60;0;0;0;0;1;0
