#def REPORTPATH=$/QAD Addons/BI Report/xxpctrmt
#def :end
"地点";"年份";"期间";"件号";"件名";"类型";"数量"
"2000";2009;3;"2.10.06.02.00T";"C6CR-55090 INTIER机种-FB/L编码T";"ISS-SO";-3
"2000";2009;3;"2.10.06.02.00T";"C6CR-55090 INTIER机种-FB/L编码T";"ISS-TR";-3
"2000";2009;3;"2.10.06.02.00T";"C6CR-55090 INTIER机种-FB/L编码T";"RCT-TR";3
"2000";2009;3;"2.10.06.02.00T";"C6CR-55090 INTIER机种-FB/L编码T";"RCT-UNP";-8
"2000";2009;3;"2.10.06.02.00T";"C6CR-55090 INTIER机种-FB/L编码T";"RCT-WO";3
"2000";2009;3;"2.10.06.03.00T";"C6CR-55100 INTIER机种-FB/R编码T";"ISS-SO";-3
"2000";2009;3;"2.10.06.03.00T";"C6CR-55100 INTIER机种-FB/R编码T";"ISS-TR";-3
"2000";2009;3;"2.10.06.03.00T";"C6CR-55100 INTIER机种-FB/R编码T";"RCT-TR";3
"2000";2009;3;"2.10.06.03.00T";"C6CR-55100 INTIER机种-FB/R编码T";"RCT-UNP";-19
"2000";2009;3;"2.10.06.03.00T";"C6CR-55100 INTIER机种-FB/R编码T";"RCT-WO";3
"2000";2009;3;"2.10.06.04.00B";" INTIER机种-FC编码B";"RCT-UNP";-7
"2000";2009;3;"2.10.06.04.00T";" INTIER机种-FC编码T";"RCT-UNP";-10
"2000";2009;3;"2.10.06.05.00T";"INTIER机种-FC/L-T C6CR-55608";"ISS-SO";-3
"2000";2009;3;"2.10.06.05.00T";"INTIER机种-FC/L-T C6CR-55608";"ISS-TR";-3
"2000";2009;3;"2.10.06.05.00T";"INTIER机种-FC/L-T C6CR-55608";"RCT-TR";3
"2000";2009;3;"2.10.06.05.00T";"INTIER机种-FC/L-T C6CR-55608";"RCT-WO";3
"2000";2009;3;"2.10.06.06.00T";"INTIER机种-FC/R-T C6CR-55608";"ISS-SO";-3
"2000";2009;3;"2.10.06.06.00T";"INTIER机种-FC/R-T C6CR-55608";"ISS-TR";-3
"2000";2009;3;"2.10.06.06.00T";"INTIER机种-FC/R-T C6CR-55608";"RCT-TR";3
"2000";2009;3;"2.10.06.06.00T";"INTIER机种-FC/R-T C6CR-55608";"RCT-WO";3
"2000";2009;3;"2.10.06.08.00B";" INTIER机种-RB/L编码B";"RCT-UNP";-5
"2000";2009;3;"2.10.06.08.00T";"C6CR-75112 INTIER机种-RB40%T";"ISS-SO";-3
"2000";2009;3;"2.10.06.08.00T";"C6CR-75112 INTIER机种-RB40%T";"ISS-TR";-3
"2000";2009;3;"2.10.06.08.00T";"C6CR-75112 INTIER机种-RB40%T";"RCT-TR";3
"2000";2009;3;"2.10.06.08.00T";"C6CR-75112 INTIER机种-RB40%T";"RCT-UNP";-1
"2000";2009;3;"2.10.06.08.00T";"C6CR-75112 INTIER机种-RB40%T";"RCT-WO";3
"2000";2009;3;"2.10.06.09.00B";" INTIER机种-RB/R编码B";"RCT-UNP";-3
"2000";2009;3;"2.10.06.09.00T";"C6CR-75116 INTIER机种-RB60%T";"ISS-SO";-3
"2000";2009;3;"2.10.06.09.00T";"C6CR-75116 INTIER机种-RB60%T";"ISS-TR";-3
"2000";2009;3;"2.10.06.09.00T";"C6CR-75116 INTIER机种-RB60%T";"RCT-TR";3
"2000";2009;3;"2.10.06.09.00T";"C6CR-75116 INTIER机种-RB60%T";"RCT-WO";3
"2000";2009;3;"2.10.06.11.00B";" INTIER机种-RC/L编码B";"RCT-UNP";-5
"2000";2009;3;"2.10.06.11.00T";"C6CR-75612 INTIER机种RC40%T";"ISS-SO";-3
"2000";2009;3;"2.10.06.11.00T";"C6CR-75612 INTIER机种RC40%T";"ISS-TR";-3
"2000";2009;3;"2.10.06.11.00T";"C6CR-75612 INTIER机种RC40%T";"RCT-TR";3
"2000";2009;3;"2.10.06.11.00T";"C6CR-75612 INTIER机种RC40%T";"RCT-UNP";-2
"2000";2009;3;"2.10.06.11.00T";"C6CR-75612 INTIER机种RC40%T";"RCT-WO";3
"2000";2009;3;"2.10.06.12.00B";" INTIER机种-RC/R编码B";"RCT-UNP";-3
"2000";2009;3;"2.10.06.12.00T";"C6CR-75616 INTIER机种-RC60% T";"ISS-SO";-3
"2000";2009;3;"2.10.06.12.00T";"C6CR-75616 INTIER机种-RC60% T";"ISS-TR";-3
"2000";2009;3;"2.10.06.12.00T";"C6CR-75616 INTIER机种-RC60% T";"RCT-TR";3
"2000";2009;3;"2.10.06.12.00T";"C6CR-75616 INTIER机种-RC60% T";"RCT-UNP";-2
"2000";2009;3;"2.10.06.12.00T";"C6CR-75616 INTIER机种-RC60% T";"RCT-WO";3
"2000";2009;3;"2.10.06.22.00F";" INTIER机种-MB编码F";"RCT-UNP";-124
"2000";2009;3;"2.10.06.22.00S";" INTIER机种-MB编码S";"RCT-UNP";-14
"2000";2009;3;"2.10.06.23.00F";"INTIER机种-MBL-FIX C6CR-45108L";"ISS-SO";-3
"2000";2009;3;"2.10.06.23.00F";"INTIER机种-MBL-FIX C6CR-45108L";"ISS-TR";-3
"2000";2009;3;"2.10.06.23.00F";"INTIER机种-MBL-FIX C6CR-45108L";"RCT-TR";3
"2000";2009;3;"2.10.06.23.00F";"INTIER机种-MBL-FIX C6CR-45108L";"RCT-WO";3
"2000";2009;3;"2.10.06.23.00S";"INTIER机种-MBL-SNG C6CR-45102L";"ISS-SO";-3
"2000";2009;3;"2.10.06.23.00S";"INTIER机种-MBL-SNG C6CR-45102L";"ISS-TR";-3
"2000";2009;3;"2.10.06.23.00S";"INTIER机种-MBL-SNG C6CR-45102L";"RCT-TR";3
"2000";2009;3;"2.10.06.23.00S";"INTIER机种-MBL-SNG C6CR-45102L";"RCT-WO";3
"2000";2009;3;"2.10.06.24.00F";"INTIER机种-MBR-FIX C6CR-45108R";"ISS-SO";-3
"2000";2009;3;"2.10.06.24.00F";"INTIER机种-MBR-FIX C6CR-45108R";"ISS-TR";-3
"2000";2009;3;"2.10.06.24.00F";"INTIER机种-MBR-FIX C6CR-45108R";"RCT-TR";3
"2000";2009;3;"2.10.06.24.00F";"INTIER机种-MBR-FIX C6CR-45108R";"RCT-WO";3
"2000";2009;3;"2.10.06.24.00S";"INTIER机种-MBR-SNG C6CR-45102R";"ISS-SO";-3
"2000";2009;3;"2.10.06.24.00S";"INTIER机种-MBR-SNG C6CR-45102R";"ISS-TR";-3
"2000";2009;3;"2.10.06.24.00S";"INTIER机种-MBR-SNG C6CR-45102R";"RCT-TR";3
"2000";2009;3;"2.10.06.24.00S";"INTIER机种-MBR-SNG C6CR-45102R";"RCT-WO";3
"2000";2009;3;"2.10.06.25.00F";" INTIER机种-MC-R-FIX";"RCT-UNP";-126
"2000";2009;3;"2.10.06.25.00S";" INTIER机种-MC编码S";"RCT-UNP";-16
"2000";2009;3;"2.10.06.26.00F";"INTIER机种-MCL-FIX C6CR-45607";"ISS-SO";-3
"2000";2009;3;"2.10.06.26.00F";"INTIER机种-MCL-FIX C6CR-45607";"ISS-TR";-3
"2000";2009;3;"2.10.06.26.00F";"INTIER机种-MCL-FIX C6CR-45607";"RCT-TR";3
"2000";2009;3;"2.10.06.26.00F";"INTIER机种-MCL-FIX C6CR-45607";"RCT-WO";3
"2000";2009;3;"2.10.06.26.00S";"INTIER机种-MCL-SNG C6CR-45620L";"ISS-SO";-3
"2000";2009;3;"2.10.06.26.00S";"INTIER机种-MCL-SNG C6CR-45620L";"ISS-TR";-3
"2000";2009;3;"2.10.06.26.00S";"INTIER机种-MCL-SNG C6CR-45620L";"RCT-TR";3
"2000";2009;3;"2.10.06.26.00S";"INTIER机种-MCL-SNG C6CR-45620L";"RCT-WO";3
"2000";2009;3;"2.10.06.27.00F";"INTIER机种-MCR-FIX  C6CR-45607";"ISS-SO";-3
"2000";2009;3;"2.10.06.27.00F";"INTIER机种-MCR-FIX  C6CR-45607";"ISS-TR";-3
"2000";2009;3;"2.10.06.27.00F";"INTIER机种-MCR-FIX  C6CR-45607";"RCT-TR";3
"2000";2009;3;"2.10.06.27.00F";"INTIER机种-MCR-FIX  C6CR-45607";"RCT-WO";3
"2000";2009;3;"2.10.06.27.00S";"INTIER机种-MCR-SNG C6CR-45620R";"ISS-SO";-3
"2000";2009;3;"2.10.06.27.00S";"INTIER机种-MCR-SNG C6CR-45620R";"ISS-TR";-3
"2000";2009;3;"2.10.06.27.00S";"INTIER机种-MCR-SNG C6CR-45620R";"RCT-TR";3
"2000";2009;3;"2.10.06.27.00S";"INTIER机种-MCR-SNG C6CR-45620R";"RCT-WO";3
"2000";2009;3;"2.12.01.02.00";" 2WA-327色FB-L部位";"ISS-SO";-3010
"2000";2009;3;"2.12.01.02.00";" 2WA-327色FB-L部位";"ISS-TR";-3070
"2000";2009;3;"2.12.01.02.00";" 2WA-327色FB-L部位";"RCT-TR";3070
"2000";2009;3;"2.12.01.02.00";" 2WA-327色FB-L部位";"RCT-UNP";-180
"2000";2009;3;"2.12.01.02.00";" 2WA-327色FB-L部位";"RCT-WO";3172
"2000";2009;3;"2.12.01.03.00";" 2WA-327色FB-R部位";"ISS-SO";-3010
"2000";2009;3;"2.12.01.03.00";" 2WA-327色FB-R部位";"ISS-TR";-3070
"2000";2009;3;"2.12.01.03.00";" 2WA-327色FB-R部位";"RCT-TR";3070
"2000";2009;3;"2.12.01.03.00";" 2WA-327色FB-R部位";"RCT-UNP";-180
"2000";2009;3;"2.12.01.03.00";" 2WA-327色FB-R部位";"RCT-WO";3172
"2000";2009;3;"2.12.01.05.00";" 2WA-327色FC-L部位";"ISS-SO";-3010
"2000";2009;3;"2.12.01.05.00";" 2WA-327色FC-L部位";"ISS-TR";-3070
"2000";2009;3;"2.12.01.05.00";" 2WA-327色FC-L部位";"RCT-TR";3070
"2000";2009;3;"2.12.01.05.00";" 2WA-327色FC-L部位";"RCT-UNP";-308
"2000";2009;3;"2.12.01.05.00";" 2WA-327色FC-L部位";"RCT-WO";3174
"2000";2009;3;"2.12.01.06.00";" 2WA-327色FC-R部位";"ISS-SO";-3010
"2000";2009;3;"2.12.01.06.00";" 2WA-327色FC-R部位";"ISS-TR";-3070
"2000";2009;3;"2.12.01.06.00";" 2WA-327色FC-R部位";"RCT-TR";3070
"2000";2009;3;"2.12.01.06.00";" 2WA-327色FC-R部位";"RCT-UNP";-180
"2000";2009;3;"2.12.01.06.00";" 2WA-327色FC-R部位";"RCT-WO";3166
"2000";2009;3;"2.12.01.08.00";" 2WA-327色RB-L部位";"ISS-SO";-4080
"2000";2009;3;"2.12.01.08.00";" 2WA-327色RB-L部位";"ISS-TR";-4140
"2000";2009;3;"2.12.01.08.00";" 2WA-327色RB-L部位";"RCT-TR";4140
"2000";2009;3;"2.12.01.08.00";" 2WA-327色RB-L部位";"RCT-UNP";-180
"2000";2009;3;"2.12.01.08.00";" 2WA-327色RB-L部位";"RCT-WO";4242
"2000";2009;3;"2.12.01.09.00";" 2WA-327色RB-R部位";"ISS-SO";-4080
"2000";2009;3;"2.12.01.09.00";" 2WA-327色RB-R部位";"ISS-TR";-4140
"2000";2009;3;"2.12.01.09.00";" 2WA-327色RB-R部位";"RCT-TR";4140
"2000";2009;3;"2.12.01.09.00";" 2WA-327色RB-R部位";"RCT-UNP";-180
"2000";2009;3;"2.12.01.09.00";" 2WA-327色RB-R部位";"RCT-WO";4242
"2000";2009;3;"2.12.01.11.00";" 2WA-327色RC-L部位";"ISS-SO";-4080
"2000";2009;3;"2.12.01.11.00";" 2WA-327色RC-L部位";"ISS-TR";-4140
"2000";2009;3;"2.12.01.11.00";" 2WA-327色RC-L部位";"RCT-TR";4140
"2000";2009;3;"2.12.01.11.00";" 2WA-327色RC-L部位";"RCT-UNP";-180
"2000";2009;3;"2.12.01.11.00";" 2WA-327色RC-L部位";"RCT-WO";4242
"2000";2009;3;"2.12.01.12.00";" 2WA-327色RC-R部位";"ISS-SO";-4080
"2000";2009;3;"2.12.01.12.00";" 2WA-327色RC-R部位";"ISS-TR";-4140
