#def REPORTPATH=$/QAD Addons/BI Report/xxpctrzp
#def :end
¼þ;¼þ;ÆÚ;Ôö¼Ó;;;;;¼õÉÙ;;;;;;;ÆÚ
ºÅ;Ãû;³õ;ºÏ¼Æ;ISS-UNP;RCT-PO;RCT-TR;RCT-WO;ºÏ¼Æ;ISS-PRV;ISS-SO;ISS-TR;ISS-UNP;ISS-WO;RCT-PO;Ä©
1.01.07.00; ;11;0;0;0;0;0;0;0;0;0;0;0;0;11
10; ;420;0;0;0;0;0;0;0;0;0;0;0;0;420
2.01.07.02.00; ;0;186;0;0;90;96;-90;0;0;-90;0;0;0;96
2.01.07.03.00; ;0;198;0;0;90;108;-90;0;0;-90;0;0;0;108
2.01.07.05.0A; ;0;60;0;0;30;30;-30;0;0;-30;0;0;0;30
2.01.07.05.0B; ;0;132;0;0;60;72;-60;0;0;-60;0;0;0;72
2.01.07.06.0A; ;0;132;0;0;60;72;-60;0;0;-60;0;0;0;72
2.01.07.06.0B; ;0;60;0;0;30;30;-30;0;0;-30;0;0;0;30
2.01.07.08.00; ;0;198;0;0;90;108;-90;0;0;-90;0;0;0;108
2.01.07.09.00; ;0;198;0;0;90;108;-90;0;0;-90;0;0;0;108
2.01.07.10.00; ;0;198;0;0;90;108;-90;0;0;-90;0;0;0;108
2.01.07.14.00; ;0;84;0;0;0;84;0;0;0;0;0;0;0;84
2.01.07.15.00; ;0;84;0;0;0;84;0;0;0;0;0;0;0;84
2.01.07.17.00; ;0;106;0;0;0;106;0;0;0;0;0;0;0;106
2.02.05.02.00; ;67;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;361
2.02.05.03.00; ;67;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;361
2.02.05.05.00; ;67;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;361
2.02.05.06.00; ;67;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;361
2.02.05.08.00; ;67;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;361
2.02.05.09.00; ;67;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;361
2.02.05.11.00; ;67;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;361
2.02.05.12.00; ;67;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;361
2.02.05.13.00; ;14;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;308
2.02.05.14.00; ;237;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;531
2.02.05.15.00; ;217;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;511
2.02.05.16.00; ;0;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;294
2.02.05.17.00; ;217;1938;0;0;1194;744;-1644;0;-450;-1194;0;0;0;511
2.05.01.08.00; ;345;0;0;0;0;0;0;0;0;0;0;0;0;345
2.05.01.09.00; ;395;0;0;0;0;0;0;0;0;0;0;0;0;395
2.05.01.11.00; ;445;0;0;0;0;0;0;0;0;0;0;0;0;445
2.05.01.12.00; ;445;0;0;0;0;0;0;0;0;0;0;0;0;445
2.05.01.17.00; ;305;0;0;0;0;0;0;0;0;0;0;0;0;305
2.05.01.21.00; ;235;0;0;0;0;0;0;0;0;0;0;0;0;235
2.05.02.08.00; ;203;0;0;0;0;0;0;0;0;0;0;0;0;203
2.05.02.09.00; ;203;0;0;0;0;0;0;0;0;0;0;0;0;203
2.05.02.11.00; ;203;0;0;0;0;0;0;0;0;0;0;0;0;203
2.05.02.12.00; ;203;0;0;0;0;0;0;0;0;0;0;0;0;203
2.05.02.17.00; ;203;0;0;0;0;0;0;0;0;0;0;0;0;203
2.05.02.21.00; ;204;0;0;0;0;0;0;0;0;0;0;0;0;204
2.07.01.02.00; ;41;0;0;0;0;0;0;0;0;0;0;0;0;41
2.07.01.03.00; ;41;0;0;0;0;0;0;0;0;0;0;0;0;41
2.07.01.05.00; ;41;0;0;0;0;0;0;0;0;0;0;0;0;41
2.07.01.06.00; ;41;0;0;0;0;0;0;0;0;0;0;0;0;41
2.08.02.02.00; ;202;0;0;0;0;0;0;0;0;0;0;0;0;202
2.08.02.03.00; ;202;0;0;0;0;0;0;0;0;0;0;0;0;202
2.08.02.05.00; ;202;0;0;0;0;0;0;0;0;0;0;0;0;202
2.08.02.06.00; ;202;0;0;0;0;0;0;0;0;0;0;0;0;202
2.14.12.02.00; ;80;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;320
2.14.12.03.00; ;80;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;320
2.14.12.05.00; ;80;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;320
2.14.12.06.00; ;80;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;320
2.14.12.08.00; ;80;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;320
2.14.12.09.00; ;84;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;324
2.14.12.11.00; ;80;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;320
2.14.12.12.00; ;84;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;324
2.14.12.13.00; ;0;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;240
2.14.12.14.00; ;0;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;240
2.14.12.15.00; ;0;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;240
2.14.12.16.00; ;0;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;240
2.14.12.17.00; ;0;2280;0;0;1440;840;-2040;0;-600;-1440;0;0;0;240
2.16.01.02.00;81521-SWW7-E510-M1-0003 81521-SWW7-E510-M1-0003;125;321;0;0;229;92;-391;0;-162;-229;0;0;0;55
2.16.01.03.00;81121-SWW7-E510-M1-0003 81121-SWW7-E510-M1-0003;125;321;0;0;229;92;-391;0;-162;-229;0;0;0;55
