#def REPORTPATH=$/QAD Addons/BI Report/xxpctrrr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"事务类型";"数量";"不计成本数量";"计算成本数量";"标准系统数量";"数量差异"
2009;9;"1000";"宁波提爱思(加工区）";"1.01.07.00";"YW1成品黑色 ";"RCT-WO";11;0;11;11;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"ISS-SO";-960;0;-960;-960;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"ISS-TR";-1717;0;-1717;-1717;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";1717;0;1717;1717;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";747;0;747;747;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-960;0;-960;-960;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-1717;0;-1717;-1717;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";1717;0;1717;1717;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";751;0;751;751;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-SO";-960;0;-960;-960;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"ISS-TR";-1717;0;-1717;-1717;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"RCT-TR";1717;0;1717;1717;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"RCT-WO";752;0;752;752;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"ISS-SO";-960;0;-960;-960;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"ISS-TR";-1717;0;-1717;-1717;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"RCT-TR";1717;0;1717;1717;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"RCT-WO";752;0;752;752;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"ISS-SO";-960;0;-960;-960;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"ISS-TR";-1766;0;-1766;-1766;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"RCT-TR";1766;0;1766;1766;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"RCT-WO";785;0;785;785;0
2009;9;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"ISS-SO";-960;0;-960;-960;0
