#def REPORTPATH=$/QAD Addons/BI Report/xxicaldr
#def :end
"会计单位";"年份";"期间";"零件";"工单";"分配比例";"数量";"基础参数";"乘参数1";"乘参数2";"乘参数3";"除参数1";"除参数2";"除参数3";"单量";"总量";"量比";"成本"
"1000";2009;6;"2.02.05.02.00";"28344";"RGGS";3850.5287;1;1;1;1;1;1;1;1;3850.5287;.000120271;120.271
"1000";2009;6;"2.02.05.02.00";"28344";"RGGS";3850.5287;1;1;1;1;1;1;1;1;3850.5287;.000120271;24.0542
"1000";2009;6;"2.02.05.02.00";"28344";"RGGS";3850.5287;1;1;1;1;1;1;1;1;3850.5287;.000120271;36.0813
"1000";2009;6;"2.02.05.02.00";"28344";"RGGS";3850.5287;1;1;1;1;1;1;1;1;3850.5287;.000120271;60.1355
"1000";2009;6;"2.02.05.02.00";"28358";"RGGS";15402.1148;1;1;1;1;1;1;1;1;15402.1148;.0004810839;481.0839
"1000";2009;6;"2.02.05.02.00";"28358";"RGGS";15402.1148;1;1;1;1;1;1;1;1;15402.1148;.0004810839;96.21678
"1000";2009;6;"2.02.05.02.00";"28358";"RGGS";15402.1148;1;1;1;1;1;1;1;1;15402.1148;.0004810839;144.32517
"1000";2009;6;"2.02.05.02.00";"28358";"RGGS";15402.1148;1;1;1;1;1;1;1;1;15402.1148;.0004810839;240.54195
"1000";2009;6;"2.02.05.02.00";"28368";"RGGS";3850.5287;1;1;1;1;1;1;1;1;3850.5287;.000120271;120.271
"1000";2009;6;"2.02.05.02.00";"28368";"RGGS";3850.5287;1;1;1;1;1;1;1;1;3850.5287;.000120271;24.0542
"1000";2009;6;"2.02.05.02.00";"28368";"RGGS";3850.5287;1;1;1;1;1;1;1;1;3850.5287;.000120271;36.0813
"1000";2009;6;"2.02.05.02.00";"28368";"RGGS";3850.5287;1;1;1;1;1;1;1;1;3850.5287;.000120271;60.1355
"1000";2009;6;"2.02.05.02.00";"28379";"RGGS";6930.9517;1;1;1;1;1;1;1;1;6930.9517;.0002164877;216.4877
"1000";2009;6;"2.02.05.02.00";"28379";"RGGS";6930.9517;1;1;1;1;1;1;1;1;6930.9517;.0002164877;43.29754
"1000";2009;6;"2.02.05.02.00";"28379";"RGGS";6930.9517;1;1;1;1;1;1;1;1;6930.9517;.0002164877;64.94631
"1000";2009;6;"2.02.05.02.00";"28379";"RGGS";6930.9517;1;1;1;1;1;1;1;1;6930.9517;.0002164877;108.24385
"1000";2009;6;"2.02.05.02.00";"28392";"RGGS";6930.9517;1;1;1;1;1;1;1;1;6930.9517;.0002164877;216.4877
"1000";2009;6;"2.02.05.02.00";"28392";"RGGS";6930.9517;1;1;1;1;1;1;1;1;6930.9517;.0002164877;43.29754
"1000";2009;6;"2.02.05.02.00";"28392";"RGGS";6930.9517;1;1;1;1;1;1;1;1;6930.9517;.0002164877;64.94631
"1000";2009;6;"2.02.05.02.00";"28392";"RGGS";6930.9517;1;1;1;1;1;1;1;1;6930.9517;.0002164877;108.24385
"1000";2009;6;"2.02.05.02.00";"28401";"RGGS";12321.6919;1;1;1;1;1;1;1;1;12321.6919;.0003848671;384.8671
"1000";2009;6;"2.02.05.02.00";"28401";"RGGS";12321.6919;1;1;1;1;1;1;1;1;12321.6919;.0003848671;76.97342
"1000";2009;6;"2.02.05.02.00";"28401";"RGGS";12321.6919;1;1;1;1;1;1;1;1;12321.6919;.0003848671;115.46013
"1000";2009;6;"2.02.05.02.00";"28401";"RGGS";12321.6919;1;1;1;1;1;1;1;1;12321.6919;.0003848671;192.43355
"1000";2009;6;"2.02.05.02.00";"28523";"RGGS";3080.423;1;1;1;1;1;1;1;1;3080.423;.0000962168;96.2168
"1000";2009;6;"2.02.05.02.00";"28523";"RGGS";3080.423;1;1;1;1;1;1;1;1;3080.423;.0000962168;19.24336
"1000";2009;6;"2.02.05.02.00";"28523";"RGGS";3080.423;1;1;1;1;1;1;1;1;3080.423;.0000962168;28.86504
"1000";2009;6;"2.02.05.02.00";"28523";"RGGS";3080.423;1;1;1;1;1;1;1;1;3080.423;.0000962168;48.1084
"1000";2009;6;"2.02.05.03.00";"28343";"RGGS";8431.5519;1;1;1;1;1;1;1;1;8431.5519;.0002633589;263.3589
"1000";2009;6;"2.02.05.03.00";"28343";"RGGS";8431.5519;1;1;1;1;1;1;1;1;8431.5519;.0002633589;52.67178
"1000";2009;6;"2.02.05.03.00";"28343";"RGGS";8431.5519;1;1;1;1;1;1;1;1;8431.5519;.0002633589;79.00767
"1000";2009;6;"2.02.05.03.00";"28343";"RGGS";8431.5519;1;1;1;1;1;1;1;1;8431.5519;.0002633589;131.67945
"1000";2009;6;"2.02.05.03.00";"28357";"RGGS";9198.0566;1;1;1;1;1;1;1;1;9198.0566;.0002873006;287.3006
"1000";2009;6;"2.02.05.03.00";"28357";"RGGS";9198.0566;1;1;1;1;1;1;1;1;9198.0566;.0002873006;57.46012
"1000";2009;6;"2.02.05.03.00";"28357";"RGGS";9198.0566;1;1;1;1;1;1;1;1;9198.0566;.0002873006;86.19018
"1000";2009;6;"2.02.05.03.00";"28357";"RGGS";9198.0566;1;1;1;1;1;1;1;1;9198.0566;.0002873006;143.6503
"1000";2009;6;"2.02.05.03.00";"28367";"RGGS";5365.533;1;1;1;1;1;1;1;1;5365.533;.000167592;167.592
"1000";2009;6;"2.02.05.03.00";"28367";"RGGS";5365.533;1;1;1;1;1;1;1;1;5365.533;.000167592;33.5184
