#def REPORTPATH=$/QAD Addons/BI Report/xxpcincr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"成本要素代码";"成本要素说明";"期初总成";"期间非入库总成";"期间入库总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"1";"直接材料";14185.88;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"21";"制1人工";171.3559;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"22";"品质人工";3.64306;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"23";"制2人工";135.23842;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"24";"制1福利费";62.54336;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"25";"品质福利费";33.73313;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"26";"制2福利费";7.28613;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"34";"制1其他变动";115.36882;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"35";"品质其他变动";309.30227;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"36";"制2其他变动";89.39289;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"41";"制1折旧";574.53221;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"42";"品质折旧";54.00172;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"43";"制2折旧";372.68831;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.02.16.00";" ";"44";"制1其他固定";305.77379;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"1";"直接材料";71685.7;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"21";"制1人工";865.91876;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"22";"品质人工";18.40962;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"23";"制2人工";683.40506;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"24";"制1福利费";316.05252;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"25";"品质福利费";170.46481;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"26";"制2福利费";36.81923;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"34";"制1其他变动";582.995;0;179983.96848;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"35";"品质其他变动";1563.00181;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"36";"制2其他变动";451.73043;0;44995.99212;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"41";"制1折旧";2903.29227;0;74993.3202;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"42";"品质折旧";272.88771;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"43";"制2折旧";1883.31147;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"44";"制1其他固定";1545.1713;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"1";"直接材料";71777.92;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"21";"制1人工";867.03269;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"22";"品质人工";18.4333;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"23";"制2人工";684.2842;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"24";"制1福利费";316.4591;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"25";"品质福利费";170.6841;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"26";"制2福利费";36.8666;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"34";"制1其他变动";583.7451;0;157256.21376;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"35";"品质其他变动";1565.0128;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"36";"制2其他变动";452.31164;0;39314.05344;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"41";"制1折旧";2907.02771;0;65523.4224;0;0
