#def REPORTPATH=$/QAD Addons/BI Report/xxpcwocr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"加工单";"成本要素代码";"成本要素说明";"期初总成";"期间非领料总成";"期间领料总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28344";"34";"制1其他变动";0;144.3252;0;169.66812;169.66812
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28344";"36";"制2其他变动";0;36.0813;0;42.41703;42.41703
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28344";"41";"制1折旧";0;60.1355;0;70.69505;70.69505
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28358";"34";"制1其他变动";0;577.30068;0;678.6726;678.6726
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28358";"36";"制2其他变动";0;144.32517;0;169.66815;169.66815
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28358";"41";"制1折旧";0;240.54195;0;282.78025;282.78025
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28368";"34";"制1其他变动";0;144.3252;0;169.66812;169.66812
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28368";"36";"制2其他变动";0;36.0813;0;42.41703;42.41703
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28368";"41";"制1折旧";0;60.1355;0;70.69505;70.69505
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28379";"34";"制1其他变动";0;259.78524;0;305.40264;305.40264
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28379";"36";"制2其他变动";0;64.94631;0;76.35066;76.35066
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28379";"41";"制1折旧";0;108.24385;0;127.2511;127.2511
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28392";"34";"制1其他变动";0;259.78524;0;305.40264;305.40264
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28392";"36";"制2其他变动";0;64.94631;0;76.35066;76.35066
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28392";"41";"制1折旧";0;108.24385;0;127.2511;127.2511
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28401";"34";"制1其他变动";0;461.84052;0;542.93808;542.93808
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28401";"36";"制2其他变动";0;115.46013;0;135.73452;135.73452
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28401";"41";"制1折旧";0;192.43355;0;226.2242;226.2242
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28523";"34";"制1其他变动";0;115.46016;0;135.73452;135.73452
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28523";"36";"制2其他变动";0;28.86504;0;33.93363;33.93363
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"28523";"41";"制1折旧";0;48.1084;0;56.55605;56.55605
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28343";"34";"制1其他变动";0;316.03068;0;371.52456;371.52456
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28343";"36";"制2其他变动";0;79.00767;0;92.88114;92.88114
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28343";"41";"制1折旧";0;131.67945;0;154.8019;154.8019
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28357";"34";"制1其他变动";0;344.76072;0;405.29952;405.29952
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28357";"36";"制2其他变动";0;86.19018;0;101.32488;101.32488
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28357";"41";"制1折旧";0;143.6503;0;168.8748;168.8748
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28367";"34";"制1其他变动";0;201.1104;0;236.42472;236.42472
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"28367";"36";"制2其他变动";0;50.2776;0;59.10618;59.10618
