#def REPORTPATH=$/QAD Addons/BI Report/xxpcwips
#def :end
年;期;地点;;父零件;;;子零件;;;成本要素;;合计;;;第1次;;
份;间;代码;说明;代码;说明;加工单;代码;说明;用量;代码;说明;领料均成;领料总成;入库总成;领料均成;领料总成;入库总成
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;1;直接材料;33.9983333333;1019.949999999;1019.949999999;33.9983333333;1019.949999999;1019.949999999
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;21;制1人工;1.244707;37.34121;37.34121;1.244707;37.34121;37.34121
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;22;品质人工;.0264627368;.793882104;.793882104;.0264627368;.793882104;.793882104
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;23;制2人工;.9823543509;29.470630527;29.470630527;.9823543509;29.470630527;29.470630527
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;24;制1福利费;.454306807;13.62920421;13.62920421;.454306807;13.62920421;13.62920421
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;25;品质福利费;.2450330877;7.350992631;7.350992631;.2450330877;7.350992631;7.350992631
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;26;制2福利费;.0529254737;1.587764211;1.587764211;.0529254737;1.587764211;1.587764211
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;34;制1其他变动;.2830270175;8.490810525;8.490810525;.2830270175;8.490810525;8.490810525
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;35;品质其他变动;.7587916667;22.763750001;22.763750001;.7587916667;22.763750001;22.763750001
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;36;制2其他变动;.2193019123;6.579057369;6.579057369;.2193019123;6.579057369;6.579057369
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;41;制1折旧;1.4094634912;42.283904736;42.283904736;1.4094634912;42.283904736;42.283904736
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;42;品质折旧;.132479;3.97437;3.97437;.132479;3.97437;3.97437
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;43;制2折旧;.9142926491;27.428779473;27.428779473;.9142926491;27.428779473;27.428779473
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;44;制1其他固定;.7501354737;22.504064211;22.504064211;.7501354737;22.504064211;22.504064211
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;1;直接材料;5.9872058824;179.616176472;179.616176472;5.9872058824;179.616176472;179.616176472
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28344;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;21;制1人工;.1129562185;3.388686555;3.388686555;.1129562185;3.388686555;3.388686555
