#def REPORTPATH=$/QAD Addons/BI Report/xxpctrcz
#def :end
2009;10;¼þ;¼þ;ÆÚ³õ;;;Ôö¼ÓºÏ¼Æ;;;ISS-UNP;;;RCT-PO;;;RCT-TR;;;RCT-WO;;;¼õÉÙºÏ¼Æ;;;ISS-PRV;;;ISS-SO;;;ISS-TR;;;ISS-UNP;;;ISS-WO;;;RCT-PO;;;ÆÚÄ©;;
2009;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;10;ºÅ;Ãû;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É
2009;10;1.01.07.00; ;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
2009;10;2.02.05.02.00; ;67;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;361;0;0
2009;10;2.02.05.03.00; ;67;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;361;0;0
2009;10;2.02.05.05.00; ;67;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;361;0;0
2009;10;2.02.05.06.00; ;67;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;361;0;0
2009;10;2.02.05.08.00; ;67;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;361;0;0
2009;10;2.02.05.09.00; ;67;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;361;0;0
2009;10;2.02.05.11.00; ;67;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;361;0;0
2009;10;2.02.05.12.00; ;67;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;361;0;0
2009;10;2.02.05.13.00; ;14;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;308;0;0
2009;10;2.02.05.14.00; ;237;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;531;0;0
2009;10;2.02.05.15.00; ;217;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;511;0;0
2009;10;2.02.05.16.00; ;0;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;294;0;0
2009;10;2.02.05.17.00; ;217;0;0;1938;0;0;0;0;0;0;0;0;1194;0;0;744;0;0;-1644;0;0;0;0;0;-450;0;0;-1194;0;0;0;0;0;0;0;0;0;0;0;511;0;0
2009;10;2.05.01.08.00; ;345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;345;0;0
2009;10;2.05.01.09.00; ;395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;395;0;0
2009;10;2.05.01.11.00; ;445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;445;0;0
2009;10;2.05.01.12.00; ;445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;445;0;0
2009;10;2.05.01.17.00; ;305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;305;0;0
2009;10;2.05.01.21.00; ;235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235;0;0
2009;10;2.05.02.08.00; ;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203;0;0
2009;10;2.05.02.09.00; ;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203;0;0
2009;10;2.05.02.11.00; ;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203;0;0
2009;10;2.05.02.12.00; ;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203;0;0
2009;10;2.05.02.17.00; ;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203;0;0
2009;10;2.05.02.21.00; ;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;0;0
2009;10;2.07.01.02.00; ;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0
2009;10;2.07.01.03.00; ;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0
2009;10;2.07.01.05.00; ;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0
2009;10;2.07.01.06.00; ;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0
