xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      1                                            ¹ãÖİÕÑºÍÆû³µÁã²¿¼şÓĞÏŞ¹«Ë¾                                      Ê±¼ä: 11:24:55
"mnt_lang"	"mnd_nbr"	"mnd_select"	"mnd_label"	"mnd_name"	"mnd_exec"	"mnd_help"
"ch"	"0"	1	"Áã¼ş/µØµã"	""	"1"	""
"ch"	"1"	1	"µØµã/¿âÎ»/×´Ì¬²Ëµ¥"	""	"1.1"	""
"ch"	"1.1"	1	"¿â´æ×´Ì¬´úÂëÎ¬»¤"	""	"icstmt.p"	"icstmt.hlp"
"ch"	"1.1"	2	"¿â´æ×´Ì¬´úÂëä¯ÀÀ"	""	"gpbr349.p"	"icstiq.hlp"
"ch"	"1.1"	3	"¿â´æ×´Ì¬´úÂë±¨±í"	""	"icstrp.p"	"icstrp.hlp"
"ch"	"1.1"	5	"Áã¼ş×´Ì¬´úÂëÎ¬»¤"	""	"ppstmt.p"	"ppstmt.hlp"
"ch"	"1.1"	6	"Áã¼ş×´Ì¬´úÂëä¯ÀÀ"	""	"gpbr198.p"	"ppstiq.hlp"
"ch"	"1.1"	7	"Áã¼ş×´Ì¬´úÂë±¨±í"	""	"ppstrp.p"	"ppstrp.hlp"
"ch"	"1.1"	9	"¿â´æÒÆ¶¯´úÂëÎ¬»¤"	""	"soimmt.p"	""
"ch"	"1.1"	10	"¿â´æÒÆ¶¯´úÂëä¯ÀÀ"	""	"gpbr501.p"	""
"ch"	"1.1"	13	"µØµãÎ¬»¤"	""	"icsimt.p"	"icsimt.hlp"
"ch"	"1.1"	14	"µØµãä¯ÀÀ"	""	"gpbr348.p"	"icsiiq.hlp"
"ch"	"1.1"	15	"µØµã±¨±í"	""	"icsirp.p"	"icsirp.hlp"
"ch"	"1.1"	18	"¿âÎ»Î¬»¤"	""	"iclomt.p"	"iclomt.hlp"
"ch"	"1.1"	19	"¿âÎ»ä¯ÀÀ"	""	"gpbr336.p"	"icloiq.hlp"
"ch"	"1.1"	20	"¿âÎ»±¨±í"	""	"iclorp01.p"	"iclorp01.hlp"
"ch"	"1"	2	"²úÆ·Àà/ÕÊ»§²Ëµ¥"	""	"1.2"	""
"ch"	"1.2"	1	"²úÆ·ÀàÎ¬»¤"	""	"ppplmt.p"	"ppplmt.hlp"
"ch"	"1.2"	2	"²úÆ·Àà²éÑ¯"	""	"pppliq.p"	"pppliq.hlp"
"ch"	"1.2"	3	"²úÆ·Àà±¨±í"	""	"ppplrp.p"	"ppplrp.hlp"
"ch"	"1.2"	5	"²É¹ºÕÊÄ¿Î¬»¤"	""	"ppplpmt.p"	""
"ch"	"1.2"	6	"²É¹ºÕÊÄ¿²éÑ¯"	""	"ppplpiq.p"	""
"ch"	"1.2"	7	"²É¹ºÕÊÄ¿±¨±í"	""	"ppplprp.p"	""
"ch"	"1.2"	9	"¹¤µ¥ÕÊÄ¿Î¬»¤"	""	"ppplwmt.p"	""
"ch"	"1.2"	10	"¹¤µ¥ÕÊÄ¿²éÑ¯"	""	"ppplwiq.p"	""
"ch"	"1.2"	11	"¹¤µ¥ÕÊÄ¿±¨±í"	""	"ppplwrp.p"	""
"ch"	"1.2"	13	"¿â´æÕÊ»§Î¬»¤"	""	"pppldmt.p"	"pppldmt.hlp"
"ch"	"1.2"	14	"¿â´æÕÊ»§ä¯ÀÀ"	""	"ppbr011.p"	"pppldiq.hlp"
"ch"	"1.2"	17	"ÏúÊÛÕÊ»§Î¬»¤"	""	"ppplsmt.p"	"ppplsmt.hlp"
"ch"	"1.2"	18	"ÏúÊÛÕÊ»§ä¯ÀÀ"	""	"ppbr012.p"	"ppplsiq.hlp"
"ch"	"1.2"	19	"ÏúÊÛÕÊ»§±¨±í"	""	"ppplsrp.p"	"ppplsrp.hlp"
"ch"	"1.2"	21	"ºóÇÚ·ÑÓÃÕÊÄ¿²Ëµ¥"	""	"1.2.21"	""
"ch"	"1.2.21"	1	"ÈëÕ¾ÕÊ»§Î¬»¤"	""	"laiacmt.p"	""
"ch"	"1.2.21"	2	"ÈëÕ¾ÕÊ»§²éÑ¯"	""	"laiaciq.p"	""
"ch"	"1.2.21"	13	"Íâ³öÓ¦¼ÆÕÊÎ¬»¤"	""	"laoacrmt.p"	""
"ch"	"1.2.21"	14	"Íâ³öÓ¦¼ÆÕÊ²éÑ¯"	""	"laoacriq.p"	""
"ch"	"1.2.21"	16	"Íâ³öÖ§³öÕÊÎ¬»¤"	""	"laoexpmt.p"	""
"ch"	"1.2.21"	17	"Íâ³öÖ§³öÕÊ²éÑ¯"	""	"laoexpiq.p"	""
"ch"	"1"	4	"Áã¼şÊı¾İ²Ëµ¥"	""	"1.4"	""
"ch"	"1.4"	1	"Áã¼şÖ÷ÎÄ¼şÎ¬»¤"	""	"ppptmt.p"	"ppptmt.hlp"
"ch"	"1.4"	2	"Áã¼şÖ÷ÎÄ¼ş²éÑ¯"	""	"ppptiq05.p"	"ppptiq05.hlp"
"ch"	"1.4"	3	"Áã¼şÊı¾İÎ¬»¤²Ëµ¥"	""	"1.4.3"	"ppptmt04.hlp"
"ch"	"1.4.3"	1	"Áã¼şÊı¾İÎ¬»¤"	""	"ppptmt04.p"	"ppptmt04.hlp"
"ch"	"1.4.3"	2	"Áã¼şÊı¾İÎ¬»¤[C]"	""	"xxptmt04.p"	"ppptmt04.hlp"
"ch"	"1.4"	4	"Áã¼şÊı¾İ²éÑ¯"	""	"ppptiq04.p"	"ppptiq04.hlp"
"ch"	"1.4"	5	"Áã¼ş¿â´æÊı¾İÎ¬»¤²Ëµ¥"	""	"1.4.5"	"1"
"ch"	"1.4.5"	1	"Áã¼ş¿â´æÊı¾İÎ¬»¤"	""	"ppptmt01.p"	"1"
"ch"	"1.4.5"	2	"Áã¼ş¿â´æÊı¾İÎ¬»¤[C]"	""	"xxptmt01.p"	"1"
"ch"	"1.4"	6	"Áã¼ş-µØµã¿â´æÊı¾İ²éÑ¯"	""	"ppptiq01.p"	"ppptiq01.hlp"
"ch"	"1.4"	7	"Áã¼ş¼Æ»®Î¬»¤"	""	"ppptmt02.p"	"ppptmt02.hlp"
"ch"	"1.4"	8	"Áã¼ş-µØµã¼Æ»®²éÑ¯"	""	"ppptiq02.p"	"ppptiq02.hlp"
"ch"	"1.4"	9	"Áã¼ş³É±¾Î¬»¤"	""	"1.4.9"	"ppptmt03.hlp"
"ch"	"1.4.9"	1	"Áã¼ş³É±¾Î¬»¤"	""	"ppptmt03.p"	"ppptmt03.hlp"
"ch"	"1.4.9"	2	"Áã¼ş³É±¾Î¬»¤[C]"	""	"xxpppt01.p"	"ppptmt03.hlp"
"ch"	"1.4"	10	"Áã¼ş-µØµã³É±¾²éÑ¯"	""	"ppptiq03.p"	"ppptiq03.hlp"
"ch"	"1.4"	11	"Áã¼ş-µØµãÖ÷ÎÄ¼ş²éÑ¯"	""	"ppptiq00.p"	"ppptiq00.hlp"
"ch"	"1.4"	12	"Áã¼şÖ÷ÎÄ¼ş¸´ÖÆ"	""	"ppptcp.p"	"ppptcp.hlp"
xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      2                                            ¹ãÖİÕÑºÍÆû³µÁã²¿¼şÓĞÏŞ¹«Ë¾                                      Ê±¼ä: 11:24:55
"ch"	"1.4"	13	"Áã¼şºÅ±ä¸ü"	""	"ppptcg.p"	"ppptcg.hlp"
"ch"	"1.4"	14	"Áã¼ş³É±¾¼¯Ãû³Æ±ä¸ü"	""	"ppcscg.p"	"ppcscg.hlp"
"ch"	"1.4"	15	"Áã¼ş-ÒªËØ³É±¾Åú´¦Àí×°Èë"	""	"ppcsbtld.p"	"ppcsbtld.hlp"
"ch"	"1.4"	16	"Áã¼ş-µØµã¿â´æÊı¾İÎ¬»¤"	""	"pppsmt01.p"	"pppsmt01.hlp"
"ch"	"1.4"	17	"Áã¼ş-µØµã¼Æ»®Î¬»¤"	""	"pppsmt02.p"	"pppsmt02.hlp"
"ch"	"1.4"	18	"Áã¼ş-µØµã³É±¾Î¬»¤"	""	"pppsmt03.p"	"pppsmt03.hlp"
"ch"	"1.4"	19	"ÉÌÆ·´úÂëÎ¬»¤"	""	"ppcommt.p"	""
"ch"	"1.4"	20	"Áã¼ş¸½¼Ó·ÑÓÃ³É±¾¸üĞÂ"	""	"ppbdov01.p"	"ppbcup.hlp"
"ch"	"1.4"	21	"Áã¼ş¼ä½Ó·ÑÓÃ³É±¾¸üĞÂ"	""	"ppbdov02.p"	"ppbdov02.hlp"
"ch"	"1.4"	22	"µ±Ç°³É±¾¼¯×ªÖÁ×ÜÕÊ³É±¾¼¯"	""	"ppcscp01.p"	"ppcscp01.p"
"ch"	"1.4"	23	"×ÜÕÊ³É±¾¼¯×ªÖÁµ±Ç°³É±¾¼¯"	""	"ppcscp02.p"	"ppcscp02.p"
"ch"	"1.4"	24	"°²È«¿â´æµ¼Èë"	""	"xxsqtymt01.p"	""
"ch"	"1.4"	25	"ĞéÄâ¶©µ¥ÖØĞÂ¼ÆËã"	""	"xxsqtymt02.p"	""
"ch"	"1"	5	"Áã¼ş±¨±í²Ëµ¥"	""	"1.5"	""
"ch"	"1.5"	1	"Áã¼şÖ÷±¨±í"	""	"ppptrp.p"	"ppptrp.hlp"
"ch"	"1.5"	2	"Áã¼şÊı¾İ±¨±í"	""	"ppptrp11.p"	"ppptrp11.hlp"
"ch"	"1.5"	3	"Áã¼ş¿â´æÊı¾İ±¨±í"	""	"ppptrp20.p"	"ppptrp20.hlp"
"ch"	"1.5"	4	"Áã¼ş¼Æ»®±¨±í"	""	"ppptrp12.p"	"ppptrp12.hlp"
"ch"	"1.5"	5	"Áã¼şÌáÇ°ÆÚ±¨±í"	""	"ppptrp14.p"	"ppptrp14.hlp"
"ch"	"1.5"	6	"Áã¼ş³É±¾±¨±í"	""	"ppptrp13.p"	"ppptrp13.hlp"
"ch"	"1.5"	8	"¿â´æ×´Ì¬±¨±í"	""	"ppptrp01.p"	"ppptrp01.hlp"
"ch"	"1.5"	9	"Áã¼ş ABC ÀàĞÍ×´Ì¬±¨±í/¸üĞÂ"	""	"ppptrp04.p"	"ppptrp04.hlp"
"ch"	"1.5"	10	"ÔÙ¶©¹ºµ¥±¨±í"	""	"ppptrp02.p"	"ppptrp02.hlp"
"ch"	"1.5"	12	"Áã¼şÖ÷ËµÃ÷±¨±í"	""	"ppcmrp.p"	"ppcmrp.hlp"
"ch"	"1.5"	13	"Áã¼ş±êÇ©´òÓ¡"	""	"ppptrp09.p"	"ppptrp09.hlp"
"ch"	"1.5"	15	"Áã¼ş-µØµã¿â´æÊı¾İ±¨±í"	""	"pppsrp20.p"	"pppsrp20.hlp"
"ch"	"1.5"	16	"Áã¼ş-µØµã¼Æ»®±¨±í"	""	"pppsrp12.p"	"pppsrp12.hlp"
"ch"	"1.5"	17	"Áã¼ş-µØµãÌáÇ°ÆÚ±¨±í"	""	"pppsrp14.p"	"pppsrp14.hlp"
"ch"	"1.5"	21	"¿â´æ¹À¼Û±¨±í"	""	"ppptrp03.p"	"ppptrp03.hlp"
"ch"	"1.5"	22	"°´¿âÎ»ÅÅĞòµÄ¿â´æ¹À¼Û"	""	"ppptrp05.p"	"ppptrp05.hlp"
"ch"	"1.5"	23	"Æù½ñÎªÖ¹µÄ¿â´æ¹À¼Û"	""	"ppptrp06.p"	"ppptrp06.hlp"
"ch"	"1.5"	24	"µ½°´¿âÎ»ÅÅĞòÎªÖ¹µÄ¿â´æ¹À¼Û"	""	"ppptrp07.p"	"ppptrp07.hlp"
"ch"	"1"	6	"Áã¼şä¯ÀÀ"	""	"ppbr013.p"	"ppptiq.hlp"
"ch"	"1"	8	"·ÖÎö´úÂë²Ëµ¥"	""	"1.8"	""
"ch"	"1.8"	1	"·ÖÎö´úÂëÎ¬»¤"	""	"ppacmt.p"	"ppacmt.hlp"
"ch"	"1.8"	2	"·ÖÎö´úÂë²éÑ¯"	""	"ppaciq01.p"	"ppaciq01.hlp"
"ch"	"1.8"	4	"·ÖÎö´úÂëÑ¡ÔñÎ¬»¤"	""	"ppacrl.p"	"ppacrl.hlp"
"ch"	"1.8"	5	"·ÖÎö´úÂëÑ¡Ôñ²éÑ¯"	""	"ppaciq03.p"	"ppaciq03.hlp"
"ch"	"1.8"	7	"·ÖÎö´úÂëÁ¬½ÓÎ¬»¤"	""	"ppacln.p"	"ppacln.hlp"
"ch"	"1.8"	8	"·ÖÎö´úÂëÁ¬½Ó²éÑ¯"	""	"ppaciq02.p"	"ppaciq02.hlp"
"ch"	"1.8"	9	"ËùÁ¬½ÓµÄ·ÖÎö´úÂë²éÑ¯"	""	"ppaciq07.p"	"ppaciq07.hlp"
"ch"	"1.8"	13	"·ÖÎö´úÂëÃ÷Ï¸Î¬»¤"	""	"ppacdt.p"	"ppacdt.hlp"
"ch"	"1.8"	14	"·ÖÎö´úÂëÃ÷Ï¸²éÑ¯"	""	"ppaciq04.p"	"ppaciq04.hlp"
"ch"	"1.8"	15	"·ÖÎö´úÂë ËùÓÃÖ®´¦ ²éÑ¯"	""	"ppaciq05.p"	"ppaciq05.hlp"
"ch"	"1.8"	17	"·ÖÎö´úÂë±¨±í"	""	"ppacrp01.p"	"ppacrp01.hlp"
"ch"	"1.8"	19	"·ÖÎö´úÂëÃ÷Ï¸ÎÄ¼ş½¨Á¢"	""	"ppacut01.p"	"ppacut01.hlp"
"ch"	"1.8"	20	"·ÖÎö´úÂë¸´ÖÆ"	""	"ppaccp.p"	"ppaccp.hlp"
"ch"	"1"	9	"²úÆ·¸Ä±ä¿ØÖÆ²Ëµ¥"	""	"1.9"	""
"ch"	"1.9"	1	"PCCÉèÖÃ²Ëµ¥"	""	"1.9.1"	""
"ch"	"1.9.1"	1	"·Ö×éÎ¬»¤"	""	"pcgrmt.p"	""
"ch"	"1.9.1"	2	"·Ö×éä¯ÀÀ"	""	"pcbr004.p"	"pcbr004.hlp"
"ch"	"1.9.1"	3	"ÔÚ×éÖĞÎ¬³ÖÓÃ»§"	""	"pcurgrmt.p"	""
"ch"	"1.9.1"	4	"°´ÓÃ»§ä¯ÀÀ·Ö×é"	""	"pcbr002.p"	""
"ch"	"1.9.1"	5	"¹¤ÒÕÁ÷³Ìµ¥Î¬»¤"	""	"pcrsmt.p"	""
"ch"	"1.9.1"	6	"¹¤ÒÕÁ÷³Ìµ¥ä¯ÀÀ"	""	"pcbr006.p"	"pcbr006.hlp"
"ch"	"1.9.1"	7	"¹¤ÒÕÁ÷³Ìµ¥¸±±¾"	""	"pcrscp.p"	""
"ch"	"1.9.1"	9	"PCR/PCOÀàĞÍÎ¬»¤"	""	"pctypemt.p"	"pctypemt.hlp"
"ch"	"1.9.1"	10	"PCR/PCOÀàĞÍä¯ÀÀ"	""	"pcbr026.p"	"pcbr026.hlp"
xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      3                                            ¹ãÖİÕÑºÍÆû³µÁã²¿¼şÓĞÏŞ¹«Ë¾                                      Ê±¼ä: 11:24:55
"ch"	"1.9"	2	"PCR/PCOÎ¬»¤²Ëµ¥"	""	"1.9.2"	""
"ch"	"1.9.2"	1	"PCRÎ¬»¤"	""	"ecpcrmt.p"	"ecpcrmt.hlp"
"ch"	"1.9.2"	2	"PCR ä¯ÀÀ"	""	"pcbr024.p"	"pcbr024.hlp"
"ch"	"1.9.2"	4	"ËÍ½»PCRÇëÇóÅú×¼"	""	"ecrsbmt.p"	"ecrsbmt.hlp"
