xxmgmer1.p 0911                         13.1           36.25.99.4 ³ÌÐò°æ±¾±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      1                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:26:00
"xxptmt04.p"	"110217.1"
"xxptmt01.p"	"091105.1"
"xxpppt01.p"	"090916.1"
"xxsqtymt01.p"	"101215.1"
"xxsqtymt02.p"	"101215.1"
"xxmpi001.p"	"100326.1"
"xxpppimt.p"	"2+"
"xxpprp01.p"	"090908.1"
"xxpprp03.p"	"091112.1"
"xxpppcmt.p"	"090907.1"
"xxpprp02.p"	"090908.1"
"xxppcpmt.p"	"b+"
"xxadvnmt.p"	"091008.1"
"xxicstjrrp1.p"	"2+"
"xxicionum.p"	"100906.1"
"xxrqrqmt.p"	"b+"
"xxrqrqmt1.p"	"b+"
"xxrqpobld.p"	"2+"
"xxpopomt.p"	"090803.1"
"xxpopom1.p"	"091119.1"
"xxpopom2.p"	"090803.1"
"xxrpo001.p"	"090929.1"
"xxrpo002.p"	"091111.1"
"xxpoprice.p"	"091103.1"
"xxscpomt.p"	"091119.1"
"xxscpoco.p"	"091211.1"
"xxscpocp.p"	"091211.1"
"a6prhmt.p"	"090106.1"
"xxrpop02.p"	"091209.1"
"xxmqc004.p"	"110104.1"
"xxmqc003.p"	"091102.1"
"xxrqc001.p"	"110113.1"
"xxrpop04.p[24;1HPress space bar to continue.[24;79H[24;1H[K[24;79H"	"110113.1"
"xxcimrsshmt.p"	"number"
"xxpocima.p"	"2+"
"xxshpex.p"	"091225.1"
"xxrsporc.p"	"091202.1"
"xxscrspodl.p"	"number"
"xxscvppm.p"	"090827.1"
"xxscvpmt.p"	"090827.1"
"xxscposm.p"	"090829.1"
"xxscpmda.p"	"090829.1"
"xxscpmdd.p"	"090829.1"
"xxscpdda.p"	"090829.1"
"xxscpddd.p"	"090829.1"
"xxscpmca.p"	"090829.1"
"xxscpmcd.p"	"090829.1"
"xxscpdca.p"	"090829.1"
"xxscpdcd.p"	"090829.1"
"xxscpmma.p"	"090829.1"
"xxscpmmd.p"	"090829.1"
"xxscpdma.p"	"090829.1"
"xxscpdmd.p"	"090829.1"
"xxscpmfa.p"	"090829.1"
"xxscpmfd.p"	"090829.1"
"xxscpdfa.p"	"090829.1"
"xxscpdfd.p"	"090829.1"
"xxscpomt.p"	"091119.1"
xxmgmer1.p 0911                         13.1           36.25.99.4 ³ÌÐò°æ±¾±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      2                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:36:20
"xxscpoco.p"	"091211.1"
"xxscpocp.p"	"091211.1"
"xxscposi.p"	"090907.1"
"xxscposu.p"	"090910.1"
"xxscposc.p"	"090907.1"
"xxscpost.p"	"090907.1"
"xxscshsi.p"	"091214.1"
"xxscposu.p"	"090910.1"
"xxcimfo.p"	"090910.1"
"xxcimfu.p"	"090910.1"
"xxcimfp.p"	"090910.1"
"xxcimfgd.p"	"090910.1"
"xxcimfo.p"	"090910.1"
"xxcimfu.p"	"090910.1"
"xxcimfp.p"	"090910.1"
"xxcimfgd.p"	"090910.1"
"xxcimdir.p"	"090910.1"
"xxscspmt.p"	"090910.1"
"xxscsvpm.p"	"090906.1"
"xxscsvsm.p"	"090906.1"
"xxscstmt.p"	"090908.1"
"xxscrppm.p"	"090906.1"
"xxscrnpm.p"	"090906.1"
"xxscxmla.p"	"090906.1"
"xxscxmlb.p"	"090906.1"
"xxscrepm.p"	"090906.1"
"xxbcmar1.p"	"081211.1"
"xxst_iss.p"	"ch/xx/xxst_iss.p"
"xxinvmt.p"	"20100706"
"xxsosomt.p"	"091113.1"
"xxrso001.p"	"091009.1"
"xxsoprice.p"	"091103.1"
"xxmso001.p"	"091112.1"
"xxinptso.p"	"20100706"
"xxinsomtn1.p"	"090902.1"
"xxinsomtn2.p"	"090902.1"
"xxinsomt.p"	"C+"
"xxinsorp.p"	"b+"
"xxinsrp1.p"	"100707.1"
"xxsocim.p"	"091113.1"
"xxtime.p"	"c+"
"xxch01.p"	"c+"
"xxch03.p"	"100715.1a"
"xxsobcsp.p"	"101021.1"
"xxsoivmt.p"	"090928.1"
"xxsoivpst.p"	"091120."
"xxssirm1.p"	"100326.2"
"xxssirm2.p"	"091104.1"
"xxssirps.p"	"091120.1"
"xxrso002.p"	"090208.1"
"xxrso003.p"	"091015.1"
"xxssirpm.p"	"090929.1"
"xxsoivr9.p"	"091112.1"
"xxssdim1.p"	"090819.1"
"xxssdim2.p"	"090901.1"
"xxssdii1.p"	"091119.2"
"xxsoivpst.p"	"091120."
"xxssdir1.p"	"091126.1"
xxmgmer1.p 0911                         13.1           36.25.99.4 ³ÌÐò°æ±¾±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      3                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:36:22
"xxssdira.p"	"091126.1"
"xxssdi25.p"	"090825.1"
"xxssdi26.p"	"090825.1"
"xxssdi01.p"	"090903.1"
"xxssdi03.p"	"091116.1"
"xxssdi02.p"	"090825.1"
"xxssdi11.p"	"090825.1"
