xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      1                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:25:19
"mnt_lang"	"mnd_nbr"	"mnd_select"	"mnd_label"	"mnd_name"	"mnd_exec"	"mnd_help"
"US"	"0"	1	"Items/Sites"	""	"1"	""
"US"	"1"	1	"Site/Location/Status Menu"	""	"1.1"	""
"US"	"1.1"	1	"Inventory Status Code Maint"	""	"icstmt.p"	"icstmt.hlp"
"US"	"1.1"	2	"Inventory Status Code Browse"	""	"gpbr349.p"	"icstiq.hlp"
"US"	"1.1"	3	"Inventory Status Code Report"	""	"icstrp.p"	"icstrp.hlp"
"US"	"1.1"	5	"Item Status Code Maintenance"	""	"ppstmt.p"	"ppstmt.hlp"
"US"	"1.1"	6	"Item Status Code Browse"	""	"gpbr198.p"	"ppstiq.hlp"
"US"	"1.1"	7	"Item Status Code Report"	""	"ppstrp.p"	"ppstrp.hlp"
"US"	"1.1"	9	"Inventory Movement Code Maint"	""	"soimmt.p"	""
"US"	"1.1"	10	"Inventory Movement Code Browse"	""	"gpbr501.p"	""
"US"	"1.1"	13	"Site Maintenance"	""	"icsimt.p"	"icsimt.hlp"
"US"	"1.1"	14	"Site Browse"	""	"gpbr348.p"	"icsiiq.hlp"
"US"	"1.1"	15	"Site Report"	""	"icsirp.p"	"icsirp.hlp"
"US"	"1.1"	18	"Location Maintenance"	""	"iclomt.p"	"iclomt.hlp"
"US"	"1.1"	19	"Location Browse"	""	"gpbr336.p"	"icloiq.hlp"
"US"	"1.1"	20	"Location Report"	""	"iclorp01.p"	"iclorp01.hlp"
"US"	"1"	2	"Product Line/Account Menu"	""	"1.2"	""
"US"	"1.2"	1	"Product Line Maintenance"	""	"ppplmt.p"	"ppplmt.hlp"
"US"	"1.2"	2	"Product Line Inquiry"	""	"pppliq.p"	"pppliq.hlp"
"US"	"1.2"	3	"Product Line Report"	""	"ppplrp.p"	"ppplrp.hlp"
"US"	"1.2"	5	"Purchasing Account Maintenance"	""	"ppplpmt.p"	""
"US"	"1.2"	6	"Purchasing Account Inquiry"	""	"ppplpiq.p"	""
"US"	"1.2"	7	"Purchasing Account Report"	""	"ppplprp.p"	""
"US"	"1.2"	9	"Work Order Account Maintenance"	""	"ppplwmt.p"	""
"US"	"1.2"	10	"Work Order Account Inquiry"	""	"ppplwiq.p"	""
"US"	"1.2"	11	"Work Order Account Report"	""	"ppplwrp.p"	""
"US"	"1.2"	13	"Inventory Account Maintenance"	""	"pppldmt.p"	"pppldmt.hlp"
"US"	"1.2"	14	"Inventory Account Browse"	""	"ppbr011.p"	"pppldiq.hlp"
"US"	"1.2"	17	"Sales Account Maintenance"	""	"ppplsmt.p"	"ppplsmt.hlp"
"US"	"1.2"	18	"Sales Account Browse"	""	"ppbr012.p"	"ppplsiq.hlp"
"US"	"1.2"	19	"Sales Account Report"	""	"ppplsrp.p"	"ppplsrp.hlp"
"US"	"1.2"	21	"Logistics Charge Account Menu"	""	"1.2.21"	""
"US"	"1.2.21"	1	"Inbound Account Maintenance"	""	"laiacmt.p"	""
"US"	"1.2.21"	2	"Inbound Account Inquiry"	""	"laiaciq.p"	""
"US"	"1.2.21"	13	"Outbound Accrual Account Maint"	""	"laoacrmt.p"	""
"US"	"1.2.21"	14	"Outbound Accrual Account Inquiry"	""	"laoacriq.p"	""
"US"	"1.2.21"	16	"Outbound Expense Account Maint"	""	"laoexpmt.p"	""
"US"	"1.2.21"	17	"Outbound Expense Account Inquiry"	""	"laoexpiq.p"	""
"US"	"1"	4	"Item Data Menu"	""	"1.4"	""
"US"	"1.4"	1	"Item Master Maintenance"	""	"ppptmt.p"	"ppptmt.hlp"
"US"	"1.4"	2	"Item Master Inquiry"	""	"ppptiq05.p"	"ppptiq05.hlp"
"US"	"1.4"	3	"Item Data Maintenance"	""	"1.4.3"	"ppptmt04.hlp"
"US"	"1.4"	4	"Item Data Inquiry"	""	"ppptiq04.p"	"ppptiq04.hlp"
"US"	"1.4"	5	"Item Inventory Data Maintenance"	""	"1.4.5"	"1"
"US"	"1.4"	6	"Item-Site Inventory Data Inquiry"	""	"ppptiq01.p"	"ppptiq01.hlp"
"US"	"1.4"	7	"Item Planning Maintenance"	""	"ppptmt02.p"	"ppptmt02.hlp"
"US"	"1.4"	8	"Item-Site Planning Inquiry"	""	"ppptiq02.p"	"ppptiq02.hlp"
"US"	"1.4"	9	"Item Cost Maintenance"	""	"1.4.9"	"ppptmt03.hlp"
