output to "/mfgeb2/bc_test/20090416.txt" .

	for each tr_hist where tr_effdate = today - 1 and tr_type = "ISS-SO" no-lock with frame x width 300:
		disp 
		tr_nbr tr_line tr_part tr_qty_chg tr_qty_loc 
		tr_site tr_loc tr_lot  
		tr_trnbr tr_date string(tr_time,"hh:mm:ss") tr_program
		with frame x. 
	end.

output close .













Order               Ln Item Number          Qty Change Loc Qty Change Site     Location ID          Trans Date              Program      tr__chr15
------------------ --- ------------------ ------------ -------------- -------- -------- -------- -------- --------          ------------ ---------
I0261934            45 US32-483901               -33.0          -33.0 1100     ha001201 847615    1514936 09/04/16 15:31:42 xxbcrp003.p  00000240
I0260670            11 US32-483901                -9.0           -9.0 1100     ha001201 847616    1514937 09/04/16 15:31:57 xxbcrp003.p  00000240
I0260671            23 US31-165326               -10.0          -10.0 1100     HB000401 847618    1514944 09/04/16 15:35:09 xxbcrp003.p  00000239
I0260673            47 US31-165326               -10.0          -10.0 1100     HB000401 847619    1514945 09/04/16 15:35:36 xxbcrp003.p  00000239
I0264829            32 US31-165326                -4.0           -4.0 1100     HB000401 847620    1514946 09/04/16 15:36:13 xxbcrp003.p  00000239
I0260671            25 US31-165340               -10.0          -10.0 1100     HB000401 847621    1514950 09/04/16 15:38:16 xxbcrp003.p  00000239
I0260673            49 US31-165340               -10.0          -10.0 1100     HB000401 847623    1514956 09/04/16 15:38:59 xxbcrp003.p  00000239
I0264829            34 US31-165340                -4.0           -4.0 1100     HB000401 847624    1514957 09/04/16 15:39:42 xxbcrp003.p  00000239
I0260670            63 US31-173758                -7.0           -7.0 1100     hB000402 847628    1514975 09/04/16 15:42:35 xxbcrp003.p  00000239
I0261934             1 US31-473601                -6.0           -6.0 1100     hb000406 847629    1514988 09/04/16 15:42:45 xxbcrp003.p  00000239
I0256058            54 US31-555588                -9.0           -9.0 1100     hb000406 847630    1514989 09/04/16 15:43:23 xxbcrp003.p  00000239
