
工单号             工单标志   工序 项目号                   订购数       合格数       报废数
------------------ -------- ------ ------------------ ------------ ------------ ------------
0904W10499-11      814758        5 RD-1025-65-01-R05         504.0        504.0          0.0
0904W10499-11      814757       15 RD-1025-65-01             504.0          0.0          0.0
0904W10499-11      814757       20 RD-1025-65-01             504.0          0.0          0.0
403772             756044       60 US32-483870                 7.0          0.0          0.0
G0812W00610-11     833420        5 32-487268-C-R05            18.0         18.0          0.0
G0812W00610-11     833419        5 32-487268-C-R10            18.0         10.0          1.0
G0812W00610-11     833419       10 32-487268-C-R10            17.0          0.0          0.0
G0812W00610-11     833419       14 32-487268-C-R10            17.0          0.0          0.0
G0812W00610-11     833418       20 32-487268-C-R20            18.0          0.0          0.0
G0812W00610-11     833417       25 32-487268-C-R25            18.0          0.0          0.0
G0812W00610-11     833416       30 32-487268-C-R30            18.0          0.0          0.0
G0812W00610-11     833416       34 32-487268-C-R30            18.0          0.0          0.0
G0812W00610-11     833415       40 32-487268                  18.0          0.0          0.0
G0812W00610-11     833415       45 32-487268                  18.0          0.0          0.0
G0812W00610-11     833415       50 32-487268                  18.0          0.0          0.0
G0812W00610-11     833415       55 32-487268                  18.0          0.0          0.0
G0812W00610-11     833415       60 32-487268                  18.0          0.0          0.0
G0812W00610-11     833415       64 32-487268                  18.0          0.0          0.0
G0812W00610-11     833415       65 32-487268                  18.0          0.0          0.0
G0812W00610-11     833415       70 32-487268                  18.0          0.0          0.0
G0812W00610-11     833415       75 32-487268                  18.0          0.0          0.0
G0901A00099-11     766844       10 32-420149-R05               7.0          7.0          0.0
G0901A00099-11     766843        5 32-420149                   7.0          7.0          0.0
G0901A00099-11     766843       10 32-420149                   7.0          7.0          0.0
G0901A00099-11     766843       15 32-420149                   7.0          7.0          0.0
G0901A00099-11     766843       20 32-420149                   7.0          7.0          0.0
G0901A00099-11     766843       25 32-420149                   7.0          7.0          0.0
G0901A00099-11     766843       30 32-420149                   7.0          0.0          0.0
G0901A00099-11     766843       35 32-420149                   7.0          0.0          0.0
G0901A00113-11     770911        3 32-4862-10-00-R03          24.0         24.0          0.0
G0901A00113-11     770910        5 32-4862-10-00-R05          24.0         24.0          0.0
G0901A00113-11     770909       10 32-486210                  24.0         24.0          0.0
G0901A00113-11     770909       15 32-486210                  24.0         24.0          0.0
G0901A00113-11     770909       25 32-486210                  24.0         24.0          0.0
G0901A00113-11     770909       30 32-486210                  24.0          0.0          0.0
G0901A00113-11     770909       35 32-486210                  24.0          0.0          0.0
G0901A00190-21     782547       10 UK32-485550                 1.0          1.0          0.0
G0901A00190-21     782547       12 UK32-485550                 1.0          1.0          0.0
G0901A00190-21     782547       15 UK32-485550                 1.0          1.0          0.0
G0901A00190-21     782547       25 UK32-485550                 1.0          1.0          0.0
G0901A00190-21     782547       30 UK32-485550                 1.0          0.0          0.0
G0901A00190-21     782547       35 UK32-485550                 1.0          0.0          0.0
