计划单号	计划单项	销售订单	订单项	料品
------------	--------	--------	------	------------------
00000262	1	U0251706	17	32-485521
00000262	2	U0254375	1	32-488624
00000262	3	U0254424	25	32-485521
00000262	4	U0254431	2	32-467619
00000262	5	U0254437	1	31-600309
00000262	6	U0255192	1	31-600309
00000262	7	U0255201	12	32-487214
00000262	8	U0255202	4	32-347911
00000262	9	U0255204	13	32-341662
00000262	10	U0257799	1	32-487000
00000262	11	U0257822	13	32-485521
00000262	12	U0257830	1	31-600309
00000262	13	U0257830	8	31-600316
00000262	14	U0257830	9	31-600317
00000262	15	U0257835	5	31-600208
00000262	16	U0259302	1	32-485014
00000262	17	U0259302	3	32-485016
00000262	18	U0259303	8	32-485054
00000262	19	U0259303	10	32-485560
00000262	20	U0259304	8	32-486205
00000262	21	U0259307	2	32-487062
00000262	22	U0259307	8	32-487106
00000262	23	U0259309	2	32-487551
00000262	24	U0259311	12	32-487274
00000262	25	U0259311	13	32-487275
00000262	26	U0260193	4	32-485521
00000262	27	U0261082	1	32-341514
00000262	28	U0261082	15	32-341662
00000262	29	U0261083	5	31-600208
00000262	30	u0261085	1	31-600356
00000262	31	U0263030	13	32-485054
00000262	32	U0263033	2	32-485501
00000262	33	U0263035	1	32-485520
00000262	34	U0263036	3	32-486205
00000262	35	U0263275	11	32-487214
00000262	36	U0263275	14	32-487217
00000262	37	U0263280	1	31-600356
00000262	38	U0263280	2	31-600357
00000262	39	U0263285	1	32-379661
00000262	40	U0263288	14	31-600051
00000262	41	U0263289	1	31-555500
00000262	41	U0263289	1	31-555500
00000262	42	U0263295	15	32-487062
00000262	43	U0263373	15	32-485054
00000262	44	U0263373	28	32-485560
00000262	45	U0263373	36	32-486205
00000262	46	U0263579	1	32-489020
00000262	47	U0263579	4	32-489026
00000262	48	U0263579	6	32-489030
00000262	49	U0263579	33	32-489124
00000262	50	U0263579	35	32-489128
00000262	51	U0263579	36	32-489130
00000262	52	U0263582	10	32-483760
00000262	53	U0263582	11	32-483762
00000262	54	U0263586	2	32-483802
00000262	55	U0263592	35	32-483888
00000262	56	U0263592	37	32-483896
00000263	1	U0263380	28	32-420666
00000263	2	U0263390	7	32-420666
00000264	1	I0245184	7	US32-486257
00000264	2	I0260672	8	US32-486250
00000264	3	I0260672	19	US32-484242
00000264	4	I0260672	21	US32-484288
00000264	5	I0261892	20	US32-486880
00000264	5	I0261892	20	US32-486880
00000264	6	I0261892	21	US32-486882
00000264	6	I0261892	21	US32-486882
00000264	7	I0261892	22	US32-486884
00000264	8	I0261892	23	US32-486886
00000264	9	I0261892	24	US32-486888
00000264	9	I0261892	24	US32-486888
00000264	10	I0261892	37	US31-177954
00000264	10	I0261892	37	US31-177954
00000264	11	I0261892	38	US31-177956
00000264	12	I0261892	39	US31-177958
00000264	12	I0261892	39	US31-177958
00000264	13	I0261892	40	US31-177960
00000264	14	I0261892	41	US31-177962
00000264	15	I0261892	42	US31-177964
00000264	16	I0261892	44	us31-177968
00000264	17	I0261892	45	us31-177970
00000264	18	I0261892	62	us31-424207
00000264	19	I0261892	64	us31-478350
00000264	20	I0261892	70	us32-487217
00000264	21	I0261934	38	US32-483866
00000264	22	I0261934	39	US32-483868
00000264	23	I0261934	44	US32-483900
00000264	24	I0261934	60	us32-486250
00000264	25	I0261934	63	us32-486255
00000264	26	I0261934	79	us32-484780
00000264	27	I0261934	80	us32-484782
00000264	28	I0261934	81	us32-484784
00000264	29	I0261934	86	us32-486510
00000264	29	I0261934	86	us32-486510
00000264	30	I0261934	87	us32-486515
00000264	31	I0261934	88	us32-486530
00000265	1	U0245585	16	32-487268
00000265	2	U0254431	2	32-467619
00000265	3	U0254437	2	31-600310
00000265	4	U0255182	1	32-422097
00000265	5	U0255192	2	31-600310
